Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Robby Preckel (44252704),Robby Preckel,44252704,RB/FLEX/S-FLEX,4000,NW@IU 09/25/2026 08:00PM ET,NW,0.1,
RB,Carson Perry-Smith (44252708),Carson Perry-Smith,44252708,RB/FLEX/S-FLEX,4000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0.6,
RB,Dean-Taylor Chapman (44252712),Dean-Taylor Chapman,44252712,RB/FLEX/S-FLEX,4000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
RB,Victor Santino (44252716),Victor Santino,44252716,RB/FLEX/S-FLEX,4000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
RB,Robert Jones III (44252720),Robert Jones III,44252720,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0.2,
RB,Andre Gilbert Jr. (44252723),Andre Gilbert Jr.,44252723,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0.4,
RB,Jeremiah Chalmers (44252727),Jeremiah Chalmers,44252727,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,Q
RB,Quinton Ezzard (44252731),Quinton Ezzard,44252731,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Braeden George (44252735),Braeden George,44252735,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Jai Hundley (44252739),Jai Hundley,44252739,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Jadyn Jones (44252743),Jadyn Jones,44252743,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Stefan Egbe (44252747),Stefan Egbe,44252747,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,1.2,
RB,Aydin Woolfolk (44252751),Aydin Woolfolk,44252751,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Andersen Cardoza (44252755),Andersen Cardoza,44252755,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Prosper Akanna (44252759),Prosper Akanna,44252759,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Santino Sanchez (44252763),Santino Sanchez,44252763,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Gage Leonard (44252767),Gage Leonard,44252767,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0.5,
RB,Maddax Fayard (44252771),Maddax Fayard,44252771,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Tyler Wall (44252775),Tyler Wall,44252775,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,James Cusick II (44252779),James Cusick II,44252779,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Armoni Spurlock (44252782),Armoni Spurlock,44252782,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Chris Daley II (44252786),Chris Daley II,44252786,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Julian Turney (44252790),Julian Turney,44252790,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Jeremiah Wingfield (44252794),Jeremiah Wingfield,44252794,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Zyon McKenzie (44252798),Zyon McKenzie,44252798,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
