Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Gabriel Cline (44253326),Gabriel Cline,44253326,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0.5,
WR,Sean Persson (44253330),Sean Persson,44253330,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,Brayden Johnson (44253334),Brayden Johnson,44253334,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,Braden Teague (44253337),Braden Teague,44253337,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,Gage Messick (44253341),Gage Messick,44253341,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,Vili Haapasalo (44253347),Vili Haapasalo,44253347,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,CD Gill (44253351),CD Gill,44253351,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,Jailen Holmes (44253355),Jailen Holmes,44253355,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,KJ Daniels (44253361),KJ Daniels,44253361,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,1.8,
WR,Lamar White (44253365),Lamar White,44253365,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,1.3,
WR,Levi Brayton (44253369),Levi Brayton,44253369,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,Q
WR,Malik Muhammad (44253373),Malik Muhammad,44253373,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,Brogan McNab (44253377),Brogan McNab,44253377,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,Bradley Wainwright (44253381),Bradley Wainwright,44253381,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,Jayden Skelton (44253385),Jayden Skelton,44253385,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,Nick Spears (44253389),Nick Spears,44253389,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
