Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Tarik Skubal (42672270),Brandon Woodruff (42672273),Shea Langeliers (42672283),Spencer Torkelson (42672356),Xavier Edwards (42672297),Max Muncy (42672322),Jacob Wilson (42672332),Riley Greene (42672313),Lawrence Butler (42672334),Sam Antonacci (42672432),49700,144.82,48.58
2,Tarik Skubal (42672270),Brandon Woodruff (42672273),Shea Langeliers (42672283),Colt Keith (42672323),Brandon Lowe (42672286),Max Muncy (42672322),Jacob Wilson (42672332),Lawrence Butler (42672334),Andrew Benintendi (42672385),Wenceel Perez (42672409),50000,141.78,46.44
3,Brandon Woodruff (42672273),Adrian Houser (42672277),Shea Langeliers (42672283),Nick Kurtz (42672287),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Riley Greene (42672313),Lawrence Butler (42672334),Andrew Benintendi (42672385),47700,145.23,58.94
4,Tarik Skubal (42672270),Cade Cavalli (42672278),Shea Langeliers (42672283),Spencer Torkelson (42672356),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Tyler Soderstrom (42672296),Lawrence Butler (42672334),Andrew Benintendi (42672385),47200,141.32,55.08
5,Tarik Skubal (42672270),Sandy Alcantara (42672272),Shea Langeliers (42672283),Spencer Torkelson (42672356),Jeff McNeil (42672338),Max Muncy (42672322),Jacob Wilson (42672332),Bryan Reynolds (42672298),Lawrence Butler (42672334),Tristan Peters (42672410),49600,136.16,37.75
6,Tarik Skubal (42672270),Sandy Alcantara (42672272),Shea Langeliers (42672283),Colt Keith (42672323),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Lawrence Butler (42672334),Carlos Cortes (42672348),Sam Antonacci (42672432),49000,140.83,42.48
7,Tarik Skubal (42672270),Brandon Woodruff (42672273),Shea Langeliers (42672283),Spencer Torkelson (42672356),Xavier Edwards (42672297),Max Muncy (42672322),Jacob Wilson (42672332),Riley Greene (42672313),Lawrence Butler (42672334),Sam Antonacci (42672432),49700,144.82,48.58
8,Tarik Skubal (42672270),Brandon Woodruff (42672273),Shea Langeliers (42672283),Colt Keith (42672323),Brandon Lowe (42672286),Max Muncy (42672322),Jacob Wilson (42672332),Lawrence Butler (42672334),Andrew Benintendi (42672385),Wenceel Perez (42672409),50000,141.78,46.44
9,Brandon Woodruff (42672273),Adrian Houser (42672277),Shea Langeliers (42672283),Nick Kurtz (42672287),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Riley Greene (42672313),Lawrence Butler (42672334),Andrew Benintendi (42672385),47700,145.23,58.94
10,Tarik Skubal (42672270),Cade Cavalli (42672278),Shea Langeliers (42672283),Spencer Torkelson (42672356),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Tyler Soderstrom (42672296),Lawrence Butler (42672334),Andrew Benintendi (42672385),47200,141.32,55.08
11,Tarik Skubal (42672270),Sandy Alcantara (42672272),Shea Langeliers (42672283),Spencer Torkelson (42672356),Jeff McNeil (42672338),Max Muncy (42672322),Jacob Wilson (42672332),Bryan Reynolds (42672298),Lawrence Butler (42672334),Tristan Peters (42672410),49600,136.16,37.75
12,Tarik Skubal (42672270),Sandy Alcantara (42672272),Shea Langeliers (42672283),Colt Keith (42672323),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Lawrence Butler (42672334),Carlos Cortes (42672348),Sam Antonacci (42672432),49000,140.83,42.48
13,Brandon Woodruff (42672273),Brayan Bello (42672275),Austin Wynns (42672408),Nick Kurtz (42672287),Brandon Lowe (42672286),Colt Keith (42672323),Otto Lopez (42672307),Tyler Soderstrom (42672296),Carlos Cortes (42672348),Andrew Benintendi (42672385),47600,118.37,37.36
