Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Cristopher Sanchez (42926487),Brandon Williamson (42926496),William Contreras (42926544),Bryce Harper (42926536),Brandon Lowe (42926515),Nolan Arenado (42926583),Geraldo Perdomo (42926552),Kyle Schwarber (42926509),JJ Bleday (42926562),Lourdes Gurriel Jr. (42926589),50000,126.29,28.75
2,Cristopher Sanchez (42926487),Brandon Williamson (42926496),Joey Bart (42926634),Bryce Harper (42926536),Brandon Lowe (42926515),Bo Bichette (42926563),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Victor Scott II (42926683),50000,125.33,26.37
3,Cristopher Sanchez (42926487),Brandon Williamson (42926496),William Contreras (42926544),Bryce Harper (42926536),Brandon Lowe (42926515),Ronny Mauricio (42926699),Elly De La Cruz (42926502),Bryan Reynolds (42926529),JJ Bleday (42926562),Adolis Garcia (42926621),49500,129.44,27.20
4,Cristopher Sanchez (42926487),Brandon Williamson (42926496),William Contreras (42926544),Bryce Harper (42926536),Matt McLain (42926595),Nolan Arenado (42926583),Elly De La Cruz (42926502),Kyle Schwarber (42926509),Bryan Reynolds (42926529),Tyrone Taylor (42926671),50000,126.78,33.19
5,Cristopher Sanchez (42926487),Bubba Chandler (42926492),William Contreras (42926544),Bryce Harper (42926536),Brandon Lowe (42926515),Nolan Arenado (42926583),Trea Turner (42926535),Bryan Reynolds (42926529),JJ Bleday (42926562),Spencer Steer (42926624),49800,128.69,26.35
6,Cristopher Sanchez (42926487),Bubba Chandler (42926492),Joey Bart (42926634),Bryce Harper (42926536),Brandon Lowe (42926515),Nolan Arenado (42926583),Elly De La Cruz (42926502),JJ Bleday (42926562),Lourdes Gurriel Jr. (42926589),Adolis Garcia (42926621),49100,125.46,26.95
7,Cristopher Sanchez (42926487),Brandon Williamson (42926496),William Contreras (42926544),Bryce Harper (42926536),Brandon Lowe (42926515),Nolan Arenado (42926583),Geraldo Perdomo (42926552),Kyle Schwarber (42926509),JJ Bleday (42926562),Brett Baty (42926596),49900,125.68,26.10
8,Cristopher Sanchez (42926487),Brandon Williamson (42926496),Joey Bart (42926634),Bryce Harper (42926536),Brandon Lowe (42926515),Bo Bichette (42926563),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Wenceel Perez (42926690),50000,126.85,28.33
9,Cristopher Sanchez (42926487),Brandon Williamson (42926496),William Contreras (42926544),Bryce Harper (42926536),Brandon Lowe (42926515),Colt Keith (42926579),Elly De La Cruz (42926502),JJ Bleday (42926562),Lourdes Gurriel Jr. (42926589),Brenton Doyle (42926606),49900,124.39,26.53
10,Cristopher Sanchez (42926487),Brandon Williamson (42926496),William Contreras (42926544),Bryce Harper (42926536),Matt McLain (42926595),Nolan Arenado (42926583),Elly De La Cruz (42926502),Bryan Reynolds (42926529),Mickey Moniak (42926551),JJ Bleday (42926562),49900,131.18,24.54
