Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Logan Henderson (42962541),Merrill Kelly (42962158),Gary Sanchez (42962250),Willson Contreras (42962215),Jazz Chisholm Jr. (42962219),Max Muncy (42962207),Dansby Swanson (42962242),Aaron Judge (42962163),Wilyer Abreu (42962203),Teoscar Hernandez (42962214),49900,166.50,86.22
2,Logan Henderson (42962541),Merrill Kelly (42962158),Carlos Narvaez (42962393),Willson Contreras (42962215),Jazz Chisholm Jr. (42962219),Alex Bregman (42962218),Andruw Monasterio (42962330),Aaron Judge (42962163),Yordan Alvarez (42962164),Wilyer Abreu (42962203),49300,159.78,84.10
3,Logan Henderson (42962541),Merrill Kelly (42962158),Carlos Narvaez (42962393),Willson Contreras (42962215),Jazz Chisholm Jr. (42962219),Junior Caminero (42962185),Dansby Swanson (42962242),Aaron Judge (42962163),Roman Anthony (42962184),Dustin Harris (42962380),47600,154.51,81.05
4,Logan Henderson (42962541),Braxton Ashcraft (42962154),Gary Sanchez (42962250),Willson Contreras (42962215),Jazz Chisholm Jr. (42962219),Alex Bregman (42962218),Dansby Swanson (42962242),Aaron Judge (42962163),Roman Anthony (42962184),Felix Reyes (42962384),49100,166.91,77.83
5,Logan Henderson (42962541),Braxton Ashcraft (42962154),Gary Sanchez (42962250),Willson Contreras (42962215),Nico Hoerner (42962180),Alex Bregman (42962218),Andruw Monasterio (42962330),Aaron Judge (42962163),Wilyer Abreu (42962203),Dustin Harris (42962380),48400,160.46,68.08
6,Logan Henderson (42962541),Braxton Ashcraft (42962154),Carlos Narvaez (42962393),Willson Contreras (42962215),Jazz Chisholm Jr. (42962219),Max Muncy (42962207),Dansby Swanson (42962242),Yordan Alvarez (42962164),Roman Anthony (42962184),Wilyer Abreu (42962203),49600,158.04,69.11
7,Logan Henderson (42962541),Merrill Kelly (42962158),Gary Sanchez (42962250),Willson Contreras (42962215),Jazz Chisholm Jr. (42962219),Max Muncy (42962207),Dansby Swanson (42962242),Aaron Judge (42962163),Wilyer Abreu (42962203),Chandler Simpson (42962221),49800,161.20,80.78
8,Logan Henderson (42962541),Merrill Kelly (42962158),Gary Sanchez (42962250),Willson Contreras (42962215),Jazz Chisholm Jr. (42962219),Alex Bregman (42962218),Andruw Monasterio (42962330),Yordan Alvarez (42962164),Roman Anthony (42962184),Wilyer Abreu (42962203),49200,150.95,79.59
9,Logan Henderson (42962541),Merrill Kelly (42962158),Carlos Narvaez (42962393),Willson Contreras (42962215),Jazz Chisholm Jr. (42962219),Max Muncy (42962207),Andruw Monasterio (42962330),Aaron Judge (42962163),Roman Anthony (42962184),Dustin Harris (42962380),45700,155.01,83.68
10,Logan Henderson (42962541),Braxton Ashcraft (42962154),Dalton Rushing (42962224),Willson Contreras (42962215),Jazz Chisholm Jr. (42962219),Alex Bregman (42962218),Dansby Swanson (42962242),Aaron Judge (42962163),Wilyer Abreu (42962203),Felix Reyes (42962384),48900,166.50,73.69
11,Logan Henderson (42962541),Braxton Ashcraft (42962154),Gary Sanchez (42962250),Ben Rice (42962171),Jazz Chisholm Jr. (42962219),Alex Bregman (42962218),Dansby Swanson (42962242),Roman Anthony (42962184),Wilyer Abreu (42962203),Lourdes Gurriel Jr. (42962283),49400,162.14,74.49
12,Max Fried (42962147),Logan Henderson (42962541),Carlos Narvaez (42962393),Willson Contreras (42962215),Nico Hoerner (42962180),Alex Bregman (42962218),Andruw Monasterio (42962330),Aaron Judge (42962163),Wilyer Abreu (42962203),Dustin Harris (42962380),49400,165.62,72.21
13,Logan Henderson (42962541),Merrill Kelly (42962158),Gary Sanchez (42962250),Willson Contreras (42962215),Jazz Chisholm Jr. (42962219),Max Muncy (42962207),Dansby Swanson (42962242),Aaron Judge (42962163),Wilyer Abreu (42962203),Lourdes Gurriel Jr. (42962283),48800,161.14,83.78
14,Logan Henderson (42962541),Merrill Kelly (42962158),Carlos Narvaez (42962393),Willson Contreras (42962215),Jazz Chisholm Jr. (42962219),Alex Bregman (42962218),Jose Caballero (42962255),Yordan Alvarez (42962164),Roman Anthony (42962184),Wilyer Abreu (42962203),48600,153.86,83.52
15,Logan Henderson (42962541),Merrill Kelly (42962158),Gary Sanchez (42962250),Willson Contreras (42962215),Jazz Chisholm Jr. (42962219),Alex Bregman (42962218),Andruw Monasterio (42962330),Aaron Judge (42962163),Roman Anthony (42962184),Dustin Harris (42962380),47200,154.62,81.89
