Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Tyler Herro (42638650),Jalen Green (42638656),Deni Avdija (42638633),Jerami Grant (42638685),Bam Adebayo (42638642),Jordan Goodwin (42638734),Ryan Dunn (42638720),Oso Ighodaro (42638708),49900,249.76,12.62
2,Tyler Herro (42638650),Jalen Green (42638656),Rasheer Fleming (42638777),Andrew Wiggins (42638705),Bam Adebayo (42638642),Toumani Camara (42638674),Deni Avdija (42638633),Oso Ighodaro (42638708),49900,251.10,15.20
3,Jrue Holiday (42638659),Devin Booker (42638638),Rasheer Fleming (42638777),Jerami Grant (42638685),Bam Adebayo (42638642),Deni Avdija (42638633),Pelle Larsson (42638715),Jordan Goodwin (42638734),50000,249.06,5.83
4,Davion Mitchell (42638729),Devin Booker (42638638),Deni Avdija (42638633),Andrew Wiggins (42638705),Donovan Clingan (42638654),Tyler Herro (42638650),Jordan Goodwin (42638734),Mark Williams (42638703),49700,252.77,-3.81
5,Scoot Henderson (42638688),Jalen Green (42638656),Matisse Thybulle (42638739),Royce O'Neale (42638710),Bam Adebayo (42638642),Tyler Herro (42638650),Ryan Dunn (42638720),Deni Avdija (42638633),49900,237.70,7.29
6,Jrue Holiday (42638659),Devin Booker (42638638),Deni Avdija (42638633),Andrew Wiggins (42638705),Donovan Clingan (42638654),Jaime Jaquez Jr. (42638698),Pelle Larsson (42638715),Oso Ighodaro (42638708),49900,247.17,-5.36
7,Tyler Herro (42638650),Jalen Green (42638656),Deni Avdija (42638633),Jerami Grant (42638685),Bam Adebayo (42638642),Jordan Goodwin (42638734),Ryan Dunn (42638720),Oso Ighodaro (42638708),49900,249.76,12.62
8,Tyler Herro (42638650),Jalen Green (42638656),Deni Avdija (42638633),Rasheer Fleming (42638777),Bam Adebayo (42638642),Toumani Camara (42638674),Norman Powell (42638691),Robert Williams (42638732),50000,243.44,4.40
9,Jrue Holiday (42638659),Devin Booker (42638638),Rasheer Fleming (42638777),Jerami Grant (42638685),Bam Adebayo (42638642),Deni Avdija (42638633),Pelle Larsson (42638715),Jordan Goodwin (42638734),50000,249.06,5.83
10,Davion Mitchell (42638729),Devin Booker (42638638),Deni Avdija (42638633),Andrew Wiggins (42638705),Donovan Clingan (42638654),Tyler Herro (42638650),Jordan Goodwin (42638734),Mark Williams (42638703),49700,252.77,-3.81
11,Scoot Henderson (42638688),Jalen Green (42638656),Matisse Thybulle (42638739),Ryan Dunn (42638720),Bam Adebayo (42638642),Tyler Herro (42638650),Deni Avdija (42638633),Oso Ighodaro (42638708),49900,240.35,14.34
12,Jrue Holiday (42638659),Devin Booker (42638638),Deni Avdija (42638633),Andrew Wiggins (42638705),Donovan Clingan (42638654),Jaime Jaquez Jr. (42638698),Pelle Larsson (42638715),Oso Ighodaro (42638708),49900,247.17,-5.36
13,Devin Booker (42638638),Jalen Green (42638656),Jordan Goodwin (42638734),Jerami Grant (42638685),Bam Adebayo (42638642),Tyler Herro (42638650),Ryan Dunn (42638720),Oso Ighodaro (42638708),49800,249.28,14.86
14,Devin Booker (42638638),Jalen Green (42638656),Rasheer Fleming (42638777),Jerami Grant (42638685),Bam Adebayo (42638642),Tyler Herro (42638650),Royce O'Neale (42638710),Norman Powell (42638691),50000,244.13,3.26
15,Jrue Holiday (42638659),Toumani Camara (42638674),Rasheer Fleming (42638777),Dillon Brooks (42638662),Bam Adebayo (42638642),Devin Booker (42638638),Andrew Wiggins (42638705),Grayson Allen (42638677),50000,238.55,-3.23
16,Davion Mitchell (42638729),Jalen Green (42638656),Jordan Goodwin (42638734),Jerami Grant (42638685),Bam Adebayo (42638642),Devin Booker (42638638),Andrew Wiggins (42638705),Tyler Herro (42638650),49900,257.80,4.12
17,Jrue Holiday (42638659),Jalen Green (42638656),Pelle Larsson (42638715),Ryan Dunn (42638720),Donovan Clingan (42638654),Devin Booker (42638638),Jordan Goodwin (42638734),Tyler Herro (42638650),49800,243.18,9.11
18,Jrue Holiday (42638659),Jalen Green (42638656),Grayson Allen (42638677),Andrew Wiggins (42638705),Donovan Clingan (42638654),Devin Booker (42638638),Jaime Jaquez Jr. (42638698),Oso Ighodaro (42638708),49300,239.93,-5.98
19,Jrue Holiday (42638659),Jalen Green (42638656),Norman Powell (42638691),Dillon Brooks (42638662),Donovan Clingan (42638654),Toumani Camara (42638674),Jerami Grant (42638685),Scoot Henderson (42638688),49200,226.39,-13.11
20,Jrue Holiday (42638659),Shaedon Sharpe (42638671),Grayson Allen (42638677),Dillon Brooks (42638662),Donovan Clingan (42638654),Collin Gillespie (42638668),Jerami Grant (42638685),Toumani Camara (42638674),49100,207.83,-36.10
