Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Nolan McLean (42577821),Seth Lugo (42577822),Salvador Perez (42577844),Vinnie Pasquantino (42577838),Jake Cronenworth (42577874),Maikel Garcia (42577830),Bobby Witt Jr. (42577828),Luis Robert Jr. (42577832),Isaac Collins (42577877),Andrew Benintendi (42577901),49800,129.43,35.03
2,Nolan McLean (42577821),Seth Lugo (42577822),Salvador Perez (42577844),Vinnie Pasquantino (42577838),Jonathan India (42577864),Bo Bichette (42577843),Bobby Witt Jr. (42577828),Fernando Tatis Jr. (42577829),Isaac Collins (42577877),Andrew Benintendi (42577901),49400,126.40,35.06
3,Nolan McLean (42577821),Seth Lugo (42577822),Salvador Perez (42577844),Vinnie Pasquantino (42577838),Marcus Semien (42577870),Maikel Garcia (42577830),Bobby Witt Jr. (42577828),Fernando Tatis Jr. (42577829),Lane Thomas (42577900),Andrew Benintendi (42577901),49800,127.32,35.02
4,Nolan McLean (42577821),Seth Lugo (42577822),Salvador Perez (42577844),Vinnie Pasquantino (42577838),Jonathan India (42577864),Maikel Garcia (42577830),Francisco Lindor (42577831),Fernando Tatis Jr. (42577829),Kyle Isbel (42577872),Andrew Benintendi (42577901),49900,128.22,29.41
5,Nolan McLean (42577821),Randy Vasquez (42577824),Salvador Perez (42577844),Vinnie Pasquantino (42577838),Jake Cronenworth (42577874),Maikel Garcia (42577830),Bobby Witt Jr. (42577828),Fernando Tatis Jr. (42577829),Jac Caglianone (42577855),Andrew Benintendi (42577901),49900,128.07,34.78
6,Nolan McLean (42577821),Randy Vasquez (42577824),Salvador Perez (42577844),Vinnie Pasquantino (42577838),Marcus Semien (42577870),Maikel Garcia (42577830),Bobby Witt Jr. (42577828),Jackson Merrill (42577837),Isaac Collins (42577877),Andrew Benintendi (42577901),48400,128.86,34.70
7,Nolan McLean (42577821),Seth Lugo (42577822),Salvador Perez (42577844),Vinnie Pasquantino (42577838),Jake Cronenworth (42577874),Maikel Garcia (42577830),Bobby Witt Jr. (42577828),Luis Robert Jr. (42577832),Isaac Collins (42577877),Andrew Benintendi (42577901),49800,129.43,35.03
8,Nolan McLean (42577821),Seth Lugo (42577822),Salvador Perez (42577844),Vinnie Pasquantino (42577838),Jonathan India (42577864),Bo Bichette (42577843),Bobby Witt Jr. (42577828),Fernando Tatis Jr. (42577829),Isaac Collins (42577877),Andrew Benintendi (42577901),49400,126.40,35.06
9,Nolan McLean (42577821),Seth Lugo (42577822),Salvador Perez (42577844),Vinnie Pasquantino (42577838),Marcus Semien (42577870),Maikel Garcia (42577830),Bobby Witt Jr. (42577828),Fernando Tatis Jr. (42577829),Lane Thomas (42577900),Andrew Benintendi (42577901),49800,127.32,35.02
10,Nolan McLean (42577821),Seth Lugo (42577822),Salvador Perez (42577844),Vinnie Pasquantino (42577838),Jonathan India (42577864),Maikel Garcia (42577830),Francisco Lindor (42577831),Fernando Tatis Jr. (42577829),Kyle Isbel (42577872),Andrew Benintendi (42577901),49900,128.22,29.41
11,Nolan McLean (42577821),Randy Vasquez (42577824),Salvador Perez (42577844),Vinnie Pasquantino (42577838),Jake Cronenworth (42577874),Maikel Garcia (42577830),Bobby Witt Jr. (42577828),Fernando Tatis Jr. (42577829),Jac Caglianone (42577855),Andrew Benintendi (42577901),49900,128.07,34.78
12,Nolan McLean (42577821),Randy Vasquez (42577824),Salvador Perez (42577844),Vinnie Pasquantino (42577838),Marcus Semien (42577870),Maikel Garcia (42577830),Bobby Witt Jr. (42577828),Jackson Merrill (42577837),Isaac Collins (42577877),Andrew Benintendi (42577901),48400,128.86,34.70
13,Seth Lugo (42577822),Anthony Kay (42577825),Adrian Del Castillo (42577887),Mark Vientos (42577866),Marcus Semien (42577870),Bo Bichette (42577843),Bobby Witt Jr. (42577828),Fernando Tatis Jr. (42577829),Luis Robert Jr. (42577832),Jackson Merrill (42577837),49200,102.21,18.39
14,Seth Lugo (42577822),Anthony Kay (42577825),Freddy Fermin (42577904),Mark Vientos (42577866),Jake Cronenworth (42577874),Bo Bichette (42577843),Bobby Witt Jr. (42577828),Fernando Tatis Jr. (42577829),Jackson Merrill (42577837),Jordan Beck (42577871),46800,96.60,19.38
15,Seth Lugo (42577822),Randy Vasquez (42577824),Freddy Fermin (42577904),Mark Vientos (42577866),Jonathan India (42577864),Maikel Garcia (42577830),Francisco Lindor (42577831),Fernando Tatis Jr. (42577829),Jackson Merrill (42577837),Jordan Beck (42577871),47900,113.38,19.40
16,Seth Lugo (42577822),Randy Vasquez (42577824),Francisco Alvarez (42577854),Gavin Sheets (42577867),Jonathan India (42577864),Maikel Garcia (42577830),Francisco Lindor (42577831),Fernando Tatis Jr. (42577829),Jackson Merrill (42577837),Zac Veen (42577943),47900,114.45,22.14
17,Randy Vasquez (42577824),Chase Dollander (42577826),Adrian Del Castillo (42577887),Mark Vientos (42577866),Jonathan India (42577864),Bo Bichette (42577843),Francisco Lindor (42577831),Luis Robert Jr. (42577832),Jackson Merrill (42577837),Isaac Collins (42577877),44100,103.42,16.22
18,Randy Vasquez (42577824),Chase Dollander (42577826),Francisco Alvarez (42577854),Mark Vientos (42577866),Jonathan India (42577864),Bo Bichette (42577843),Francisco Lindor (42577831),Luis Robert Jr. (42577832),Jac Caglianone (42577855),Tim Tawa (42577911),43100,98.56,14.56
19,Eduardo Rodriguez (42577823),Randy Vasquez (42577824),Freddy Fermin (42577904),Gavin Sheets (42577867),Jonathan India (42577864),Manny Machado (42577834),Francisco Lindor (42577831),Jackson Merrill (42577837),Jordan Beck (42577871),Isaac Collins (42577877),44300,100.38,15.78
