Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Jake Bauers (42522526),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Starling Marte (42522536),Garrett Mitchell (42522548),46700,103.85,-7.81
2,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Alec Burleson (42522499),Brice Turang (42522492),David Hamilton (42522531),Colson Montgomery (42522504),Christian Yelich (42522491),Jake Bauers (42522526),Nick Loftin (42522554),47400,89.06,-15.87
3,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Alec Burleson (42522499),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Isaac Collins (42522542),Davis Schneider (42522539),47500,104.81,-0.77
4,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Jake Bauers (42522526),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Jordan Walker (42522567),Davis Schneider (42522539),Nick Loftin (42522554),43900,104.05,-0.35
5,Jack Flaherty (42522481),Chad Patrick (42522482),William Contreras (42522493),Alec Burleson (42522499),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Garrett Mitchell (42522548),Nick Loftin (42522554),47800,100.06,-6.58
6,Jack Flaherty (42522481),Chad Patrick (42522482),William Contreras (42522493),Jake Bauers (42522526),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Isaac Collins (42522542),Jordan Walker (42522567),46800,99.91,-5.85
7,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Jake Bauers (42522526),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Starling Marte (42522536),Garrett Mitchell (42522548),46700,103.85,-7.81
8,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Alec Burleson (42522499),Brice Turang (42522492),David Hamilton (42522531),Colson Montgomery (42522504),Christian Yelich (42522491),Jake Bauers (42522526),Nick Loftin (42522554),47400,89.06,-15.87
9,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Alec Burleson (42522499),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Isaac Collins (42522542),Davis Schneider (42522539),47500,104.81,-0.77
10,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Jake Bauers (42522526),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Jordan Walker (42522567),Davis Schneider (42522539),Nick Loftin (42522554),43900,104.05,-0.35
11,Jack Flaherty (42522481),Chad Patrick (42522482),William Contreras (42522493),Alec Burleson (42522499),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Garrett Mitchell (42522548),Nick Loftin (42522554),47800,100.06,-6.58
12,Jack Flaherty (42522481),Chad Patrick (42522482),William Contreras (42522493),Jake Bauers (42522526),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Isaac Collins (42522542),Jordan Walker (42522567),46800,99.91,-5.85
13,Chad Patrick (42522482),Dustin May (42522483),Ivan Herrera (42522517),Jake Bauers (42522526),JJ Wetherholt (42522529),Miguel Vargas (42522521),Kevin McGonigle (42522500),Christian Yelich (42522491),Starling Marte (42522536),Garrett Mitchell (42522548),43900,86.58,-8.13
14,Chad Patrick (42522482),Dustin May (42522483),Ivan Herrera (42522517),Alec Burleson (42522499),Nick Loftin (42522554),Miguel Vargas (42522521),Kevin McGonigle (42522500),Christian Yelich (42522491),Jordan Walker (42522567),Jake Bauers (42522526),44000,85.40,-6.39
15,Chad Patrick (42522482),Dustin May (42522483),Ivan Herrera (42522517),Alec Burleson (42522499),JJ Wetherholt (42522529),Colt Keith (42522511),Colson Montgomery (42522504),Garrett Mitchell (42522548),Jordan Walker (42522567),Jake Bauers (42522526),42800,81.59,-6.66
16,Chad Patrick (42522482),Dustin May (42522483),Ivan Herrera (42522517),Jake Bauers (42522526),JJ Wetherholt (42522529),Colt Keith (42522511),Andres Gimenez (42522535),Starling Marte (42522536),Garrett Mitchell (42522548),Thomas Saggese (42522577),40500,90.08,-0.39
17,Chad Patrick (42522482),Luinder Avila (42522484),Pedro Pages (42522560),Alec Burleson (42522499),JJ Wetherholt (42522529),Colt Keith (42522511),Colson Montgomery (42522504),Starling Marte (42522536),Garrett Mitchell (42522548),Jordan Walker (42522567),40700,70.89,-4.36
18,Chad Patrick (42522482),Luinder Avila (42522484),Ivan Herrera (42522517),Alec Burleson (42522499),JJ Wetherholt (42522529),Colt Keith (42522511),Colson Montgomery (42522504),Garrett Mitchell (42522548),Nick Loftin (42522554),Thomas Saggese (42522577),40900,69.93,-4.06
19,Chad Patrick (42522482),Luinder Avila (42522484),Ivan Herrera (42522517),Alec Burleson (42522499),JJ Wetherholt (42522529),Colt Keith (42522511),Andres Gimenez (42522535),Isaac Collins (42522542),Garrett Mitchell (42522548),Jordan Walker (42522567),40600,80.74,0.67
20,Chad Patrick (42522482),Luinder Avila (42522484),Ivan Herrera (42522517),Alec Burleson (42522499),JJ Wetherholt (42522529),Colt Keith (42522511),Colson Montgomery (42522504),Jordan Walker (42522567),Brandon Lockridge (42522569),Davis Schneider (42522539),41100,72.98,-0.66
