Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,De'Aaron Fox (42753718),Stephon Castle (42753707),Baylor Scheierman (42753898),Scottie Barnes (42753701),Victor Wembanyama (42753665),Reed Sheppard (42753793),Jerami Grant (42753840),Luka Garza (42753955),49700,258.63,10.36
2,Craig Porter Jr. (42753965),Stephon Castle (42753707),Keldon Johnson (42753833),Jayson Tatum (42753670),Victor Wembanyama (42753665),Payton Pritchard (42753753),Jerami Grant (42753840),Luka Garza (42753955),49000,243.82,-5.93
3,Dylan Harper (42753820),Donovan Mitchell (42753690),Carter Bryant (42753887),Nae'Qwan Tomlin (42753962),Victor Wembanyama (42753665),Brandon Ingram (42753733),Deni Avdija (42753684),Baylor Scheierman (42753898),49800,246.87,12.91
4,Tyrese Maxey (42753681),Stephon Castle (42753707),Keldon Johnson (42753833),Scottie Barnes (42753701),Victor Wembanyama (42753665),Kris Murray (42753972),Harrison Barnes (42753871),Luka Garza (42753955),49900,247.27,-0.69
5,Amen Thompson (42753704),Jaylen Brown (42753676),Deni Avdija (42753684),Jordan Walsh (42753915),Victor Wembanyama (42753665),Craig Porter Jr. (42753965),Baylor Scheierman (42753898),Thomas Bryant (42753977),49900,237.63,0.45
6,Derrick White (42753743),Payton Pritchard (42753753),Kevin Durant (42753695),Scottie Barnes (42753701),Victor Wembanyama (42753665),Baylor Scheierman (42753898),Nae'Qwan Tomlin (42753962),Dominick Barlow (42753951),49300,240.97,-4.90
7,De'Aaron Fox (42753718),Jaylen Brown (42753676),Baylor Scheierman (42753898),Jayson Tatum (42753670),Victor Wembanyama (42753665),Kris Murray (42753972),Trendon Watford (42753986),Luka Garza (42753955),50000,237.87,-0.13
8,James Harden (42753698),Stephon Castle (42753707),RJ Barrett (42753736),Jerami Grant (42753840),Victor Wembanyama (42753665),Reed Sheppard (42753793),Keldon Johnson (42753833),Luka Garza (42753955),50000,254.65,-5.50
9,De'Aaron Fox (42753718),Brandon Ingram (42753733),Carter Bryant (42753887),Jerami Grant (42753840),Victor Wembanyama (42753665),Craig Porter Jr. (42753965),Deni Avdija (42753684),Andre Drummond (42753797),49700,241.55,1.80
10,Scoot Henderson (42753782),Donovan Mitchell (42753690),Devin Vassell (42753761),Scottie Barnes (42753701),Victor Wembanyama (42753665),Dylan Harper (42753820),Jaylon Tyson (42753890),Luka Garza (42753955),49600,253.94,-0.13
11,Tyrese Maxey (42753681),Stephon Castle (42753707),Keldon Johnson (42753833),Harrison Barnes (42753871),Victor Wembanyama (42753665),Amen Thompson (42753704),Nae'Qwan Tomlin (42753962),Thomas Bryant (42753977),49800,240.15,-1.27
12,Payton Pritchard (42753753),Brandon Ingram (42753733),Kevin Durant (42753695),Scottie Barnes (42753701),Victor Wembanyama (42753665),Baylor Scheierman (42753898),Nae'Qwan Tomlin (42753962),Dominick Barlow (42753951),50000,247.32,1.06
13,Jrue Holiday (42753729),Jaylen Brown (42753676),Baylor Scheierman (42753898),Jayson Tatum (42753670),Victor Wembanyama (42753665),Kris Murray (42753972),Jordan Walsh (42753915),Luka Garza (42753955),49800,240.13,4.15
14,De'Aaron Fox (42753718),Stephon Castle (42753707),Kevin Durant (42753695),Jerami Grant (42753840),Victor Wembanyama (42753665),Reed Sheppard (42753793),Carter Bryant (42753887),Luka Garza (42753955),50000,249.98,5.04
15,Craig Porter Jr. (42753965),Donovan Mitchell (42753690),Jaylen Brown (42753676),Jerami Grant (42753840),Victor Wembanyama (42753665),Payton Pritchard (42753753),Baylor Scheierman (42753898),Andre Drummond (42753797),50000,245.58,-7.15
16,Craig Porter Jr. (42753965),Stephon Castle (42753707),Deni Avdija (42753684),Scottie Barnes (42753701),Victor Wembanyama (42753665),Dylan Harper (42753820),Jaylon Tyson (42753890),Luka Garza (42753955),50000,252.43,-2.50
17,James Harden (42753698),Stephon Castle (42753707),Deni Avdija (42753684),Harrison Barnes (42753871),Victor Wembanyama (42753665),Keldon Johnson (42753833),Nae'Qwan Tomlin (42753962),Thomas Bryant (42753977),49800,238.85,-4.27
18,Amen Thompson (42753704),Brandon Ingram (42753733),Baylor Scheierman (42753898),Scottie Barnes (42753701),Victor Wembanyama (42753665),Payton Pritchard (42753753),Nae'Qwan Tomlin (42753962),Dominick Barlow (42753951),49700,247.53,3.81
19,De'Aaron Fox (42753718),Donovan Mitchell (42753690),Carter Bryant (42753887),Jayson Tatum (42753670),Victor Wembanyama (42753665),Kris Murray (42753972),Harrison Barnes (42753871),Luka Garza (42753955),49800,239.84,5.41
20,Derrick White (42753743),Brandon Ingram (42753733),Baylor Scheierman (42753898),Jayson Tatum (42753670),Victor Wembanyama (42753665),Reed Sheppard (42753793),Jerami Grant (42753840),Luka Garza (42753955),49600,252.41,-0.08
