Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Shai Gilgeous-Alexander (42763642),Isaiah Joe (42763790),Cameron Johnson (42763734),Paolo Banchero (42763654),Branden Carlson (42763912),Jamal Murray (42763648),Chet Holmgren (42763661),Daniss Jenkins (42763806),49900,255.64,9.22
2,Shai Gilgeous-Alexander (42763642),Isaiah Joe (42763790),Cameron Johnson (42763734),Paolo Banchero (42763654),Branden Carlson (42763912),Devin Booker (42763657),Julius Randle (42763664),Bones Hyland (42763761),49900,253.20,9.26
3,Jamal Murray (42763648),Devin Booker (42763657),Cameron Johnson (42763734),Chet Holmgren (42763661),Jalen Duren (42763667),Nikola Topic (42763945),Cason Wallace (42763746),Isaiah Hartenstein (42763709),49900,246.69,3.34
4,Shai Gilgeous-Alexander (42763642),Devin Booker (42763657),Cason Wallace (42763746),Chet Holmgren (42763661),Branden Carlson (42763912),Jamal Murray (42763648),Kevin Huerter (42763793),Bruce Brown (42763798),49800,246.51,3.24
5,Shai Gilgeous-Alexander (42763642),Isaiah Joe (42763790),Jaden McDaniels (42763686),Paolo Banchero (42763654),Kenrich Williams (42763881),Jamal Murray (42763648),Ausar Thompson (42763695),Daniss Jenkins (42763806),49800,241.89,-2.98
6,Jamal Murray (42763648),Devin Booker (42763657),Aaron Wiggins (42763827),Chet Holmgren (42763661),Jalen Duren (42763667),Nikola Topic (42763945),Aaron Gordon (42763705),Isaiah Hartenstein (42763709),49700,239.35,-6.92
