Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Amen Thompson (42736608),Stephon Castle (42736605),Devin Vassell (42736654),Jayson Tatum (42736583),Andre Drummond (42736674),De'Aaron Fox (42736615),Baylor Scheierman (42736738),Luka Garza (42736793),50000,252.08,15.08
2,Dylan Harper (42736680),Kelly Oubre Jr. (42736659),Carter Bryant (42736766),Jayson Tatum (42736583),Victor Wembanyama (42736575),Baylor Scheierman (42736738),Deni Avdija (42736591),Luka Garza (42736793),50000,244.88,12.45
3,De'Aaron Fox (42736615),Luke Kennard (42736648),Kevin Durant (42736602),Jayson Tatum (42736583),Neemias Queta (42736657),Keldon Johnson (42736705),Toumani Camara (42736664),Baylor Scheierman (42736738),49700,245.96,13.73
4,Jrue Holiday (42736622),Stephon Castle (42736605),Kevin Durant (42736602),LeBron James (42736580),Jaxson Hayes (42736724),Dylan Harper (42736680),Rui Hachimura (42736667),Luka Garza (42736793),50000,241.00,10.06
5,Payton Pritchard (42736635),Stephon Castle (42736605),Paul George (42736626),Sam Hauser (42736684),Victor Wembanyama (42736575),Marcus Smart (42736643),Baylor Scheierman (42736738),Luka Garza (42736793),49700,234.16,10.47
6,De'Aaron Fox (42736615),Jaylen Brown (42736586),Devin Vassell (42736654),Deni Avdija (42736591),Neemias Queta (42736657),Scoot Henderson (42736671),Julian Champagnie (42736676),Hugo Gonzalez (42736788),49900,231.85,-6.70
7,Amen Thompson (42736608),Stephon Castle (42736605),Devin Vassell (42736654),Jabari Smith Jr. (42736639),Alperen Sengun (42736600),De'Aaron Fox (42736615),Jae'Sean Tate (42736748),Luka Garza (42736793),49700,240.98,6.56
8,Dylan Harper (42736680),Kelly Oubre Jr. (42736659),Carter Bryant (42736766),Jayson Tatum (42736583),Victor Wembanyama (42736575),Baylor Scheierman (42736738),Paul George (42736626),Andre Drummond (42736674),50000,240.58,12.72
9,Amen Thompson (42736608),Luke Kennard (42736648),Kevin Durant (42736602),LeBron James (42736580),Neemias Queta (42736657),Keldon Johnson (42736705),Baylor Scheierman (42736738),Andre Drummond (42736674),49800,246.08,19.17
10,De'Aaron Fox (42736615),Stephon Castle (42736605),Toumani Camara (42736664),Jayson Tatum (42736583),Neemias Queta (42736657),Jrue Holiday (42736622),Baylor Scheierman (42736738),Luka Garza (42736793),49700,247.87,11.16
11,Dylan Harper (42736680),Marcus Smart (42736643),Kevin Durant (42736602),Jayson Tatum (42736583),Victor Wembanyama (42736575),Baylor Scheierman (42736738),Harrison Barnes (42736731),Luka Garza (42736793),50000,241.47,7.65
12,Payton Pritchard (42736635),Stephon Castle (42736605),Deni Avdija (42736591),Sam Hauser (42736684),Victor Wembanyama (42736575),Keldon Johnson (42736705),Baylor Scheierman (42736738),Luka Garza (42736793),49800,243.70,7.69
13,De'Aaron Fox (42736615),Stephon Castle (42736605),Devin Vassell (42736654),Jayson Tatum (42736583),Neemias Queta (42736657),Luke Kennard (42736648),Carter Bryant (42736766),Tari Eason (42736690),50000,236.71,13.87
14,Amen Thompson (42736608),Stephon Castle (42736605),Paul George (42736626),Julian Champagnie (42736676),Alperen Sengun (42736600),Kelly Oubre Jr. (42736659),Jae'Sean Tate (42736748),Andre Drummond (42736674),50000,236.06,3.15
15,De'Aaron Fox (42736615),Luke Kennard (42736648),Kevin Durant (42736602),LeBron James (42736580),Andre Drummond (42736674),Scoot Henderson (42736671),Keldon Johnson (42736705),Luke Kornet (42736688),50000,238.54,11.76
16,Amen Thompson (42736608),Payton Pritchard (42736635),Rui Hachimura (42736667),LeBron James (42736580),Jaxson Hayes (42736724),Dylan Harper (42736680),Jaylen Brown (42736586),Baylor Scheierman (42736738),50000,241.18,8.24
17,Jrue Holiday (42736622),Dylan Harper (42736680),Toumani Camara (42736664),Jayson Tatum (42736583),Victor Wembanyama (42736575),Baylor Scheierman (42736738),Rui Hachimura (42736667),Luka Garza (42736793),50000,244.05,11.49
18,Amen Thompson (42736608),Baylor Scheierman (42736738),Carter Bryant (42736766),Deni Avdija (42736591),Victor Wembanyama (42736575),De'Aaron Fox (42736615),Sam Hauser (42736684),Luka Garza (42736793),50000,242.66,14.99
19,De'Aaron Fox (42736615),Stephon Castle (42736605),Devin Vassell (42736654),Jayson Tatum (42736583),Neemias Queta (42736657),Reed Sheppard (42736695),Carter Bryant (42736766),Marcus Smart (42736643),50000,236.33,6.53
20,Luke Kennard (42736648),Stephon Castle (42736605),Paul George (42736626),Jayson Tatum (42736583),Neemias Queta (42736657),Dylan Harper (42736680),Kelly Oubre Jr. (42736659),Luka Garza (42736793),49700,238.23,9.33
