Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Tarik Skubal (42557238),Nathan Eovaldi (42557249),Yainer Diaz (42557346),Ben Rice (42557297),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),CJ Abrams (42557309),Daylen Lile (42557358),Joey Wiemer (42557414),Thomas Saggese (42557605),49500,152.80,52.44
2,Tarik Skubal (42557238),Cristopher Sanchez (42557240),Moises Ballesteros (42557494),Ben Rice (42557297),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),CJ Abrams (42557309),Daylen Lile (42557358),Zach Dezenzo (42557668),Otto Kemp (42557628),49700,153.16,49.25
3,Tarik Skubal (42557238),Garrett Crochet (42557239),Moises Ballesteros (42557494),Ben Rice (42557297),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),CJ Abrams (42557309),Joey Wiemer (42557414),Zach Dezenzo (42557668),Jared Oliva (42557639),49500,150.04,45.83
4,Tarik Skubal (42557238),Paul Skenes (42557243),Miguel Amaya (42557362),Ben Rice (42557297),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),CJ Abrams (42557309),Daylen Lile (42557358),Zach Dezenzo (42557668),Jared Oliva (42557639),50000,146.47,58.70
5,Tarik Skubal (42557238),Paul Skenes (42557243),Moises Ballesteros (42557494),Ben Rice (42557297),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),CJ Abrams (42557309),James Wood (42557288),Zach Dezenzo (42557668),Dylan Moore (42557626),50000,144.39,60.25
6,Garrett Crochet (42557239),Cristopher Sanchez (42557240),Moises Ballesteros (42557494),Ben Rice (42557297),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),CJ Abrams (42557309),Daylen Lile (42557358),Jared Oliva (42557639),Brice Matthews (42557376),50000,153.20,46.23
7,Tarik Skubal (42557238),Nathan Eovaldi (42557249),Yainer Diaz (42557346),Ben Rice (42557297),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),CJ Abrams (42557309),Daylen Lile (42557358),Joey Wiemer (42557414),Thomas Saggese (42557605),49500,152.80,52.44
8,Tarik Skubal (42557238),Cristopher Sanchez (42557240),Moises Ballesteros (42557494),Ben Rice (42557297),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),CJ Abrams (42557309),Daylen Lile (42557358),Zach Dezenzo (42557668),Otto Kemp (42557628),49700,153.16,49.25
