Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Cristopher Sanchez (42926487),Brandon Williamson (42926496),William Contreras (42926544),Sal Stewart (42926512),Matt McLain (42926595),Kyle Karros (42926646),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Spencer Steer (42926624),49900,130.53,24.84
2,Cristopher Sanchez (42926487),Brandon Williamson (42926496),Jose Trevino (42926645),Sal Stewart (42926512),Brandon Lowe (42926515),Ronny Mauricio (42926699),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Brenton Doyle (42926606),50000,124.83,26.42
3,Cristopher Sanchez (42926487),Brandon Williamson (42926496),Joey Bart (42926634),Sal Stewart (42926512),Bryson Stott (42926607),Nolan Arenado (42926583),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Jordan Beck (42926612),49400,123.83,25.33
4,Cristopher Sanchez (42926487),Bubba Chandler (42926492),Brett Sullivan (42926679),Sal Stewart (42926512),Matt McLain (42926595),Nolan Arenado (42926583),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Lourdes Gurriel Jr. (42926589),50000,127.41,24.97
5,Cristopher Sanchez (42926487),Bubba Chandler (42926492),Joey Bart (42926634),Sal Stewart (42926512),Ildemaro Vargas (42926549),Ke'Bryan Hayes (42926691),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Brenton Doyle (42926606),49900,122.41,19.17
6,Cristopher Sanchez (42926487),Bubba Chandler (42926492),Rafael Marchan (42926676),Sal Stewart (42926512),Brandon Lowe (42926515),Kyle Karros (42926646),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Greg Jones (42926707),49900,120.53,20.43
7,Cristopher Sanchez (42926487),Brandon Williamson (42926496),William Contreras (42926544),Sal Stewart (42926512),Matt McLain (42926595),Kyle Karros (42926646),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Adolis Garcia (42926621),50000,128.36,23.34
8,Cristopher Sanchez (42926487),Brandon Williamson (42926496),Jose Trevino (42926645),Sal Stewart (42926512),Brandon Lowe (42926515),Jace Jung (42926799),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Brenton Doyle (42926606),50000,125.09,25.07
9,Cristopher Sanchez (42926487),Logan Webb (42926488),Joey Bart (42926634),Sal Stewart (42926512),Marcus Semien (42926611),Kyle Karros (42926646),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Victor Scott II (42926683),49600,118.88,17.38
10,Cristopher Sanchez (42926487),Bubba Chandler (42926492),Gary Sanchez (42926585),Sal Stewart (42926512),Matt McLain (42926595),Ronny Mauricio (42926699),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Jordan Beck (42926612),49400,125.85,20.67
11,Cristopher Sanchez (42926487),Logan Webb (42926488),Brett Sullivan (42926679),Sal Stewart (42926512),Matt McLain (42926595),Ke'Bryan Hayes (42926691),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Lourdes Gurriel Jr. (42926589),49900,124.75,23.29
12,Cristopher Sanchez (42926487),JR Ritchie (42926489),Jose Trevino (42926645),Sal Stewart (42926512),Ildemaro Vargas (42926549),Kyle Karros (42926646),Elly De La Cruz (42926502),Kyle Schwarber (42926509),JJ Bleday (42926562),Greg Jones (42926707),50000,121.00,5.97
