Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Jamal Murray (42763648),Desmond Bane (42763678),Julian Strawther (42763876),Paolo Banchero (42763654),Branden Carlson (42763912),Daniss Jenkins (42763806),Chet Holmgren (42763661),Devin Booker (42763657),49900,246.15,5.05
2,Shai Gilgeous-Alexander (42763642),Jordan Goodwin (42763725),Cameron Johnson (42763734),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Tristan da Silva (42763841),Kevin Huerter (42763793),49800,251.10,-4.01
3,Jamal Murray (42763648),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Nikola Jokic (42763640),Bones Hyland (42763761),Kyle Anderson (42763811),Branden Carlson (42763912),49300,241.57,1.04
4,Jamal Murray (42763648),Duncan Robinson (42763758),Grayson Allen (42763738),Tobias Harris (42763689),Nikola Jokic (42763640),Jalen Suggs (42763675),Kevin Huerter (42763793),Nikola Topic (42763945),50000,241.92,-11.51
5,Shai Gilgeous-Alexander (42763642),Christian Braun (42763718),Julian Strawther (42763876),Julius Randle (42763664),Jalen Duren (42763667),Cade Cunningham (42763645),Kenrich Williams (42763881),Daniss Jenkins (42763806),49800,238.63,-7.51
6,Cade Cunningham (42763645),Devin Booker (42763657),Terrence Shannon Jr. (42763836),Cameron Johnson (42763734),Nikola Jokic (42763640),Ajay Mitchell (42763711),Caris LeVert (42763845),Branden Carlson (42763912),49800,241.69,0.25
7,Jamal Murray (42763648),Luguentz Dort (42763769),Julian Strawther (42763876),Paolo Banchero (42763654),Isaiah Hartenstein (42763709),Daniss Jenkins (42763806),Chet Holmgren (42763661),Devin Booker (42763657),49400,242.31,1.00
8,Shai Gilgeous-Alexander (42763642),Isaiah Joe (42763790),Cameron Johnson (42763734),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Tristan da Silva (42763841),Jordan Goodwin (42763725),49700,248.46,-4.45
9,Jamal Murray (42763648),Desmond Bane (42763678),Aaron Wiggins (42763827),Paolo Banchero (42763654),Nikola Jokic (42763640),Jared McCain (42763815),Kyle Anderson (42763811),Branden Carlson (42763912),49800,234.12,-13.86
10,Jamal Murray (42763648),Duncan Robinson (42763758),Cason Wallace (42763746),Chet Holmgren (42763661),Nikola Jokic (42763640),Bones Hyland (42763761),Royce O'Neale (42763751),Kevin Huerter (42763793),50000,247.10,-0.98
11,Shai Gilgeous-Alexander (42763642),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Jalen Duren (42763667),Jamal Murray (42763648),Julian Strawther (42763876),Nikola Topic (42763945),49900,235.29,-7.30
12,Cade Cunningham (42763645),Devin Booker (42763657),Grayson Allen (42763738),Cameron Johnson (42763734),Nikola Jokic (42763640),Daniss Jenkins (42763806),Kevin Huerter (42763793),Branden Carlson (42763912),49800,247.44,-13.00
13,Cade Cunningham (42763645),Desmond Bane (42763678),Javonte Green (42763783),Julius Randle (42763664),Nikola Jokic (42763640),Terrence Shannon Jr. (42763836),Julian Strawther (42763876),Branden Carlson (42763912),50000,233.70,-2.58
14,Shai Gilgeous-Alexander (42763642),Luguentz Dort (42763769),Tristan da Silva (42763841),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Jordan Goodwin (42763725),Tim Hardaway Jr. (42763772),49600,246.77,-2.88
15,Jamal Murray (42763648),Desmond Bane (42763678),Tristan da Silva (42763841),Paolo Banchero (42763654),Nikola Jokic (42763640),Daniss Jenkins (42763806),Kyle Anderson (42763811),Branden Carlson (42763912),49800,250.95,-2.69
16,Shai Gilgeous-Alexander (42763642),Christian Braun (42763718),Jaden McDaniels (42763686),Chet Holmgren (42763661),Kenrich Williams (42763881),Jamal Murray (42763648),Cameron Johnson (42763734),Duncan Robinson (42763758),50000,242.66,2.20
17,Jamal Murray (42763648),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Nikola Jokic (42763640),Nikola Topic (42763945),Kevin Huerter (42763793),Bones Hyland (42763761),49500,244.43,-0.18
18,Cade Cunningham (42763645),Devin Booker (42763657),Grayson Allen (42763738),Paolo Banchero (42763654),Jalen Duren (42763667),Daniss Jenkins (42763806),Cason Wallace (42763746),Jared McCain (42763815),49900,234.68,-20.02
19,Cade Cunningham (42763645),Isaiah Joe (42763790),Ausar Thompson (42763695),Chet Holmgren (42763661),Branden Carlson (42763912),Jamal Murray (42763648),Julius Randle (42763664),Julian Strawther (42763876),49900,238.90,0.47
20,Shai Gilgeous-Alexander (42763642),Luguentz Dort (42763769),Jordan Goodwin (42763725),Paolo Banchero (42763654),Jalen Duren (42763667),Devin Booker (42763657),Kevin Huerter (42763793),Terrence Shannon Jr. (42763836),50000,234.56,-6.34
