Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Amen Thompson (42948965),Donovan Mitchell (42948959),RJ Barrett (42948979),Jabari Smith Jr. (42948990),Deandre Ayton (42949031),Duncan Robinson (42949057),Tari Eason (42949017),Jakob Poeltl (42949060),50000,245.36,-2.46
2,James Harden (42948962),Desmond Bane (42948982),Rui Hachimura (42949037),Paolo Banchero (42948951),Jakob Poeltl (42949060),Ja'Kobe Walter (42949053),Evan Mobley (42948971),Max Strus (42949048),50000,234.05,-10.01
3,Jamal Shead (42949045),Duncan Robinson (42949057),Tari Eason (42949017),Scottie Barnes (42948956),Alperen Sengun (42948954),Austin Reaves (42948975),Jamal Cain (42949062),Reed Sheppard (42949006),49900,242.55,12.04
4,Cade Cunningham (42948945),Desmond Bane (42948982),Ausar Thompson (42949003),Tobias Harris (42948997),Wendell Carter Jr. (42949015),Jamal Shead (42949045),Rui Hachimura (42949037),Ja'Kobe Walter (42949053),50000,239.88,17.41
5,Amen Thompson (42948965),Donovan Mitchell (42948959),Tari Eason (42949017),Jabari Smith Jr. (42948990),Deandre Ayton (42949031),Luke Kennard (42949033),Collin Murray-Boyles (42949022),Max Strus (42949048),49900,232.93,4.86
6,Jalen Suggs (42948987),Duncan Robinson (42949057),RJ Barrett (42948979),Paolo Banchero (42948951),Jalen Duren (42948985),Luke Kennard (42949033),Ausar Thompson (42949003),Ja'Kobe Walter (42949053),50000,233.08,4.02
7,Austin Reaves (42948975),Donovan Mitchell (42948959),Tari Eason (42949017),Evan Mobley (42948971),Jarrett Allen (42949026),Duncan Robinson (42949057),Jabari Smith Jr. (42948990),Jakob Poeltl (42949060),49900,235.34,-21.62
8,Reed Sheppard (42949006),Desmond Bane (42948982),RJ Barrett (42948979),Jabari Smith Jr. (42948990),Alperen Sengun (42948954),Anthony Black (42949041),Rui Hachimura (42949037),Jakob Poeltl (42949060),49800,246.48,2.18
9,James Harden (42948962),Donovan Mitchell (42948959),Tari Eason (42949017),Scottie Barnes (42948956),Deandre Ayton (42949031),Jamal Shead (42949045),Max Strus (42949048),Jamal Cain (42949062),49700,237.95,2.98
10,Amen Thompson (42948965),Desmond Bane (42948982),Rui Hachimura (42949037),Tobias Harris (42948997),Alperen Sengun (42948954),Duncan Robinson (42949057),Tari Eason (42949017),Ja'Kobe Walter (42949053),50000,239.07,11.78
11,Cade Cunningham (42948945),Austin Reaves (42948975),Ausar Thompson (42949003),Tobias Harris (42948997),Wendell Carter Jr. (42949015),Jamal Shead (42949045),Max Strus (42949048),Ja'Kobe Walter (42949053),50000,239.55,9.66
12,Jalen Suggs (42948987),Desmond Bane (42948982),RJ Barrett (42948979),Paolo Banchero (42948951),Deandre Ayton (42949031),Duncan Robinson (42949057),Rui Hachimura (42949037),Luke Kennard (42949033),50000,233.82,5.05
13,Austin Reaves (42948975),Donovan Mitchell (42948959),Tari Eason (42949017),Evan Mobley (42948971),Jarrett Allen (42949026),Ja'Kobe Walter (42949053),Jabari Smith Jr. (42948990),Jakob Poeltl (42949060),50000,239.36,-13.43
14,Reed Sheppard (42949006),Desmond Bane (42948982),RJ Barrett (42948979),Jabari Smith Jr. (42948990),Alperen Sengun (42948954),Duncan Robinson (42949057),Collin Murray-Boyles (42949022),Jakob Poeltl (42949060),50000,243.97,3.10
15,James Harden (42948962),Donovan Mitchell (42948959),Max Strus (42949048),Scottie Barnes (42948956),Wendell Carter Jr. (42949015),Anthony Black (42949041),Jamal Cain (42949062),Deandre Ayton (42949031),50000,235.55,-8.59
16,Amen Thompson (42948965),Reed Sheppard (42949006),Rui Hachimura (42949037),Paolo Banchero (42948951),Jalen Duren (42948985),Jamal Shead (42949045),Tari Eason (42949017),Ja'Kobe Walter (42949053),50000,242.24,13.10
17,Amen Thompson (42948965),Austin Reaves (42948975),Tari Eason (42949017),Tobias Harris (42948997),Alperen Sengun (42948954),Jamal Shead (42949045),Jamal Cain (42949062),Ja'Kobe Walter (42949053),50000,240.01,17.39
18,Cade Cunningham (42948945),Desmond Bane (42948982),Ausar Thompson (42949003),Tobias Harris (42948997),Deandre Ayton (42949031),Duncan Robinson (42949057),Rui Hachimura (42949037),Luke Kennard (42949033),50000,231.04,7.93
19,Ja'Kobe Walter (42949053),Donovan Mitchell (42948959),Tari Eason (42949017),Evan Mobley (42948971),Alperen Sengun (42948954),Duncan Robinson (42949057),Jabari Smith Jr. (42948990),Jakob Poeltl (42949060),50000,242.22,-4.09
20,Jalen Suggs (42948987),Desmond Bane (42948982),RJ Barrett (42948979),Evan Mobley (42948971),Wendell Carter Jr. (42949015),Max Strus (42949048),Jabari Smith Jr. (42948990),Jakob Poeltl (42949060),49900,235.03,-10.22
