Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Tyrese Maxey (42753681),Donovan Mitchell (42753690),Kelly Oubre Jr. (42753771),Scottie Barnes (42753701),Joel Embiid (42753693),Baylor Scheierman (42753898),Jerami Grant (42753840),Luka Garza (42753955),49700,255.23,-8.72
2,Tyrese Maxey (42753681),Stephon Castle (42753707),Justin Edwards (42753918),Jayson Tatum (42753670),Joel Embiid (42753693),Reed Sheppard (42753793),Jerami Grant (42753840),Luka Garza (42753955),50000,246.54,-14.79
3,VJ Edgecombe (42753725),Brandon Ingram (42753733),Kevin Durant (42753695),Nae'Qwan Tomlin (42753962),Joel Embiid (42753693),Payton Pritchard (42753753),Paul George (42753721),Luka Garza (42753955),49900,237.66,-13.71
4,Craig Porter Jr. (42753965),Stephon Castle (42753707),Deni Avdija (42753684),Evan Mobley (42753714),Joel Embiid (42753693),Quentin Grimes (42753824),Paul George (42753721),Thomas Bryant (42753977),49900,233.03,-21.47
5,Tyrese Maxey (42753681),Brandon Ingram (42753733),Deni Avdija (42753684),Dominick Barlow (42753951),Joel Embiid (42753693),Scoot Henderson (42753782),Baylor Scheierman (42753898),Neemias Queta (42753776),50000,247.62,-10.49
6,De'Aaron Fox (42753718),Payton Pritchard (42753753),Kevin Durant (42753695),Scottie Barnes (42753701),Joel Embiid (42753693),Keldon Johnson (42753833),Jaylon Tyson (42753890),Andre Drummond (42753797),50000,251.81,-15.16
7,De'Aaron Fox (42753718),Donovan Mitchell (42753690),Carter Bryant (42753887),Scottie Barnes (42753701),Joel Embiid (42753693),Jrue Holiday (42753729),Jerami Grant (42753840),Baylor Scheierman (42753898),49800,253.26,1.50
8,Dylan Harper (42753820),Donovan Mitchell (42753690),Keldon Johnson (42753833),Jayson Tatum (42753670),Joel Embiid (42753693),Stephon Castle (42753707),Jerami Grant (42753840),Luka Garza (42753955),49900,253.72,-12.37
9,VJ Edgecombe (42753725),Donovan Mitchell (42753690),Kelly Oubre Jr. (42753771),Jayson Tatum (42753670),Joel Embiid (42753693),Reed Sheppard (42753793),Nae'Qwan Tomlin (42753962),Luka Garza (42753955),50000,244.59,-9.41
10,Amen Thompson (42753704),Brandon Ingram (42753733),Devin Vassell (42753761),Harrison Barnes (42753871),Joel Embiid (42753693),Jaylen Brown (42753676),Toumani Camara (42753785),Luka Garza (42753955),49700,240.59,-13.96
11,Tyrese Maxey (42753681),Stephon Castle (42753707),Deni Avdija (42753684),Dominick Barlow (42753951),Joel Embiid (42753693),Quentin Grimes (42753824),Baylor Scheierman (42753898),Neemias Queta (42753776),49800,242.89,-16.15
12,Tyrese Maxey (42753681),Payton Pritchard (42753753),Kevin Durant (42753695),Paul George (42753721),Joel Embiid (42753693),Craig Porter Jr. (42753965),Kris Murray (42753972),Andre Drummond (42753797),49600,229.36,-24.46
13,De'Aaron Fox (42753718),Stephon Castle (42753707),Baylor Scheierman (42753898),Scottie Barnes (42753701),Victor Wembanyama (42753665),Scoot Henderson (42753782),Jerami Grant (42753840),Thomas Bryant (42753977),50000,256.01,12.16
14,De'Aaron Fox (42753718),Donovan Mitchell (42753690),Carter Bryant (42753887),Scottie Barnes (42753701),Victor Wembanyama (42753665),Keldon Johnson (42753833),Jerami Grant (42753840),Jaylon Tyson (42753890),50000,255.79,-1.28
15,Reed Sheppard (42753793),Donovan Mitchell (42753690),Kelly Oubre Jr. (42753771),Jayson Tatum (42753670),Victor Wembanyama (42753665),Keldon Johnson (42753833),Nae'Qwan Tomlin (42753962),Luka Garza (42753955),50000,249.26,1.56
16,Amen Thompson (42753704),Brandon Ingram (42753733),Julian Champagnie (42753803),Jerami Grant (42753840),Victor Wembanyama (42753665),Dylan Harper (42753820),Evan Mobley (42753714),Luka Garza (42753955),50000,249.06,-7.78
17,James Harden (42753698),Stephon Castle (42753707),Devin Vassell (42753761),Jayson Tatum (42753670),Neemias Queta (42753776),Brandon Ingram (42753733),Baylor Scheierman (42753898),Luka Garza (42753955),50000,248.78,1.29
18,Craig Porter Jr. (42753965),Donovan Mitchell (42753690),Kevin Durant (42753695),Harrison Barnes (42753871),Victor Wembanyama (42753665),Payton Pritchard (42753753),Toumani Camara (42753785),Dylan Harper (42753820),50000,239.71,-13.96
19,De'Aaron Fox (42753718),Stephon Castle (42753707),Carter Bryant (42753887),Deni Avdija (42753684),Victor Wembanyama (42753665),Baylor Scheierman (42753898),Kris Murray (42753972),Andre Drummond (42753797),49700,244.11,18.67
20,De'Aaron Fox (42753718),Stephon Castle (42753707),Kevin Durant (42753695),Scottie Barnes (42753701),Donovan Clingan (42753746),Scoot Henderson (42753782),Jerami Grant (42753840),Jaylon Tyson (42753890),50000,254.10,-15.85
