Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,De'Aaron Fox (42773482),Stephon Castle (42773479),Baylor Scheierman (42773606),Jayson Tatum (42773452),Victor Wembanyama (42773450),Caleb Love (42773700),Jerami Grant (42773571),Andre Drummond (42773578),49700,257.25,5.03
2,Jalen Brunson (42773476),Stephon Castle (42773479),Toumani Camara (42773550),Harrison Barnes (42773600),Victor Wembanyama (42773450),Caleb Love (42773700),Jaylen Brown (42773458),Luka Garza (42773633),49700,254.54,0.13
3,De'Aaron Fox (42773482),Stephon Castle (42773479),Zaccharie Risacher (42773661),Deni Avdija (42773466),Victor Wembanyama (42773450),Nickeil Alexander-Walker (42773506),Vit Krejci (42773668),Luka Garza (42773633),49800,252.09,0.81
4,Tyrese Maxey (42773455),Payton Pritchard (42773516),Paul George (42773489),Jayson Tatum (42773452),Joel Embiid (42773474),Tyrese Martin (42773703),Jerami Grant (42773571),Dominick Barlow (42773653),50000,245.86,-20.49
5,Jalen Brunson (42773476),Stephon Castle (42773479),Buddy Hield (42773692),Julian Champagnie (42773561),Victor Wembanyama (42773450),Caleb Love (42773700),Jaylen Brown (42773458),Luke Kornet (42773569),49900,245.77,-6.71
6,VJ Edgecombe (42773502),Marjon Beauchamp (42773763),Paul George (42773489),Karl-Anthony Towns (42773470),Joel Embiid (42773474),Nickeil Alexander-Walker (42773506),Josh Hart (42773497),Shaedon Sharpe (42773591),50000,242.51,-23.40
7,De'Aaron Fox (42773482),Payton Pritchard (42773516),Deni Avdija (42773466),Jayson Tatum (42773452),Joel Embiid (42773474),Baylor Scheierman (42773606),Vit Krejci (42773668),Andre Drummond (42773578),50000,249.83,-5.95
8,Jalen Brunson (42773476),Stephon Castle (42773479),Toumani Camara (42773550),Jayson Tatum (42773452),Luka Garza (42773633),Caleb Love (42773700),Jonathan Kuminga (42773541),Jaylen Brown (42773458),50000,254.37,-3.76
9,De'Aaron Fox (42773482),Stephon Castle (42773479),Zaccharie Risacher (42773661),Jalen Johnson (42773463),Victor Wembanyama (42773450),Nickeil Alexander-Walker (42773506),Vit Krejci (42773668),Luka Garza (42773633),50000,250.69,-5.51
10,Tyrese Maxey (42773455),Stephon Castle (42773479),Deni Avdija (42773466),Jerami Grant (42773571),Victor Wembanyama (42773450),Jose Alvarado (42773620),Harrison Barnes (42773600),Dominick Barlow (42773653),49900,249.25,-11.09
11,Jalen Brunson (42773476),Stephon Castle (42773479),Buddy Hield (42773692),Jerami Grant (42773571),Victor Wembanyama (42773450),Caleb Love (42773700),Julian Champagnie (42773561),Jaylen Brown (42773458),49900,253.35,-6.70
12,Tyrese Maxey (42773455),Nickeil Alexander-Walker (42773506),Paul George (42773489),Karl-Anthony Towns (42773470),Joel Embiid (42773474),Shaedon Sharpe (42773591),Zaccharie Risacher (42773661),Luke Kornet (42773569),49900,244.02,-30.21
13,De'Aaron Fox (42773482),Payton Pritchard (42773516),Baylor Scheierman (42773606),Jayson Tatum (42773452),Victor Wembanyama (42773450),Dylan Harper (42773555),Jerami Grant (42773571),Andre Drummond (42773578),49800,251.29,-0.45
14,Payton Pritchard (42773516),Caleb Love (42773700),Dyson Daniels (42773510),Jayson Tatum (42773452),Joel Embiid (42773474),Jaylen Brown (42773458),Toumani Camara (42773550),Luka Garza (42773633),50000,255.22,-11.27
15,Jalen Brunson (42773476),Stephon Castle (42773479),Deni Avdija (42773466),Karl-Anthony Towns (42773470),Joel Embiid (42773474),Landry Shamet (42773682),Vit Krejci (42773668),Luka Garza (42773633),50000,256.35,-1.65
16,De'Aaron Fox (42773482),Stephon Castle (42773479),Carter Bryant (42773630),Jalen Johnson (42773463),Victor Wembanyama (42773450),Caleb Love (42773700),Dominick Barlow (42773653),Nickeil Alexander-Walker (42773506),50000,249.29,-2.82
17,Jalen Brunson (42773476),Stephon Castle (42773479),Buddy Hield (42773692),Jerami Grant (42773571),Victor Wembanyama (42773450),Jose Alvarado (42773620),Harrison Barnes (42773600),Jaylen Brown (42773458),49200,247.96,-5.48
18,Tyrese Maxey (42773455),Nickeil Alexander-Walker (42773506),Deni Avdija (42773466),Paul George (42773489),Joel Embiid (42773474),Tyrese Martin (42773703),Zaccharie Risacher (42773661),Luke Kornet (42773569),49400,235.53,-22.63
19,De'Aaron Fox (42773482),Stephon Castle (42773479),Jonathan Kuminga (42773541),Jayson Tatum (42773452),Victor Wembanyama (42773450),Caleb Love (42773700),Baylor Scheierman (42773606),Vit Krejci (42773668),49700,251.15,8.88
20,VJ Edgecombe (42773502),Payton Pritchard (42773516),Jaylen Brown (42773458),Jayson Tatum (42773452),Joel Embiid (42773474),Baylor Scheierman (42773606),Jerami Grant (42773571),Luka Garza (42773633),50000,258.91,-3.52
