Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Ben Saraf (42584634),Tre Jones (42584502),Paul George (42584474),Will Riley (42584526),Alperen Sengun (42584468),Tyson Etienne (42584795),Leonard Miller (42584598),Guerschon Yabusele (42584614),49300,259.67,77.36
2,Tre Jones (42584502),Pelle Larsson (42584622),Paul George (42584474),Will Riley (42584526),Bam Adebayo (42584466),Ja'Kobe Walter (42584637),Guerschon Yabusele (42584614),Kobe Brown (42584718),49700,257.76,74.06
3,Ben Saraf (42584634),Tre Jones (42584502),Paul George (42584474),Scottie Barnes (42584460),Lachlan Olbrich (42584793),Collin Sexton (42584521),Leonard Miller (42584598),Anthony Gill (42584693),49000,254.88,69.36
4,Rob Dillingham (42584689),Jamir Watkins (42584609),Paul George (42584474),Leonard Miller (42584598),Bam Adebayo (42584466),Pelle Larsson (42584622),Kobe Brown (42584718),Alperen Sengun (42584468),49700,266.67,66.95
5,Reed Sheppard (42584551),Collin Sexton (42584521),Will Riley (42584526),Scottie Barnes (42584460),Alperen Sengun (42584468),Taelon Peter (42584753),Guerschon Yabusele (42584614),Lachlan Olbrich (42584793),49200,245.48,58.70
6,Ben Saraf (42584634),Drake Powell (42584646),Paul George (42584474),Scottie Barnes (42584460),Bam Adebayo (42584466),Ethan Thompson (42584735),Jalen Wilson (42584728),Jakob Poeltl (42584581),49200,249.53,56.10
7,Tre Jones (42584502),Tyson Etienne (42584795),Paul George (42584474),Will Riley (42584526),Alperen Sengun (42584468),Ja'Kobe Walter (42584637),Leonard Miller (42584598),Guerschon Yabusele (42584614),49200,256.28,75.25
8,Sharife Cooper (42584732),Tre Jones (42584502),Paul George (42584474),Will Riley (42584526),Bam Adebayo (42584466),Pelle Larsson (42584622),Guerschon Yabusele (42584614),Kobe Brown (42584718),49000,253.82,70.02
9,Ben Saraf (42584634),Tre Jones (42584502),Paul George (42584474),Scottie Barnes (42584460),Lachlan Olbrich (42584793),Collin Sexton (42584521),Leonard Miller (42584598),Anthony Gill (42584693),49000,254.88,69.36
10,Ben Saraf (42584634),Tyson Etienne (42584795),Paul George (42584474),Jabari Smith Jr. (42584539),Bam Adebayo (42584466),Jamir Watkins (42584609),Kobe Brown (42584718),Alperen Sengun (42584468),49700,268.72,62.51
11,Rob Dillingham (42584689),Collin Sexton (42584521),Will Riley (42584526),Scottie Barnes (42584460),Alperen Sengun (42584468),Taelon Peter (42584753),Leonard Miller (42584598),Guerschon Yabusele (42584614),49300,246.39,63.77
12,Ben Saraf (42584634),Drake Powell (42584646),Paul George (42584474),Scottie Barnes (42584460),Bam Adebayo (42584466),Pelle Larsson (42584622),Kobe Brown (42584718),E.J. Liddell (42584678),49200,249.96,62.44
13,Tre Jones (42584502),Ethan Thompson (42584735),Paul George (42584474),Will Riley (42584526),Alperen Sengun (42584468),Ja'Kobe Walter (42584637),Leonard Miller (42584598),Guerschon Yabusele (42584614),49800,254.89,73.32
14,Jamal Shead (42584666),Tre Jones (42584502),Paul George (42584474),Will Riley (42584526),Bam Adebayo (42584466),Pelle Larsson (42584622),Guerschon Yabusele (42584614),Jalen Wilson (42584728),49300,254.83,68.37
15,Tyler Herro (42584484),Tre Jones (42584502),Leonard Miller (42584598),Scottie Barnes (42584460),Jakob Poeltl (42584581),Collin Sexton (42584521),Anthony Gill (42584693),Lachlan Olbrich (42584793),49000,251.54,54.48
16,Ben Saraf (42584634),Reed Sheppard (42584551),Jarace Walker (42584564),Tre Scott (42584758),Bam Adebayo (42584466),Jamir Watkins (42584609),Jabari Smith Jr. (42584539),Alperen Sengun (42584468),49400,261.81,40.09
17,Tyson Etienne (42584795),Collin Sexton (42584521),Will Riley (42584526),Scottie Barnes (42584460),Alperen Sengun (42584468),Ja'Kobe Walter (42584637),Leonard Miller (42584598),Guerschon Yabusele (42584614),49300,254.23,66.81
18,Ben Saraf (42584634),Drake Powell (42584646),Kobe Brown (42584718),Scottie Barnes (42584460),Bam Adebayo (42584466),Rob Dillingham (42584689),Pelle Larsson (42584622),Alperen Sengun (42584468),49400,258.39,57.03
19,Ben Saraf (42584634),Tre Jones (42584502),Will Riley (42584526),Leaky Black (42584588),Alperen Sengun (42584468),Collin Sexton (42584521),Leonard Miller (42584598),Ja'Kobe Walter (42584637),49200,248.45,61.43
20,Jalen Brunson (42584453),Tre Jones (42584502),Will Riley (42584526),Guerschon Yabusele (42584614),Bam Adebayo (42584466),Pelle Larsson (42584622),Kobe Brown (42584718),Jalen Wilson (42584728),49900,249.15,61.53
