Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Connor Norby (42539089),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),49800,145.60,38.77
2,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Spencer Horwitz (42539048),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Ryan O'Hearn (42539022),49100,144.07,38.51
3,Brandon Woodruff (42538988),Janson Junk (42538994),Ivan Herrera (42539037),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),49700,146.29,34.66
4,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Bryan Reynolds (42539017),Heriberto Hernandez (42539103),48100,144.56,34.33
5,Brandon Woodruff (42538988),Zack Littell (42538996),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),49600,144.23,42.54
6,Brandon Woodruff (42538988),Zack Littell (42538996),Agustin Ramirez (42539026),Spencer Horwitz (42539048),Brandon Lowe (42539012),Connor Norby (42539089),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Ryan O'Hearn (42539022),48300,137.48,45.94
7,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Connor Norby (42539089),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),49800,145.60,38.77
8,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Spencer Horwitz (42539048),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Ryan O'Hearn (42539022),49100,144.07,38.51
9,Brandon Woodruff (42538988),Janson Junk (42538994),Ivan Herrera (42539037),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),49700,146.29,34.66
10,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Bryan Reynolds (42539017),Heriberto Hernandez (42539103),48100,144.56,34.33
11,Brandon Woodruff (42538988),Zack Littell (42538996),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),49600,144.23,42.54
12,Brandon Woodruff (42538988),Zack Littell (42538996),Agustin Ramirez (42539026),Spencer Horwitz (42539048),Brandon Lowe (42539012),Connor Norby (42539089),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Ryan O'Hearn (42539022),48300,137.48,45.94
13,Janson Junk (42538994),Zack Littell (42538996),Agustin Ramirez (42539026),Spencer Horwitz (42539048),Xavier Edwards (42539019),Connor Norby (42539089),Nick Gonzales (42539065),Jakob Marsee (42539013),Bryan Reynolds (42539017),Heriberto Hernandez (42539103),43500,116.28,45.05
14,Janson Junk (42538994),Zack Littell (42538996),Agustin Ramirez (42539026),Spencer Horwitz (42539048),JJ Wetherholt (42539047),Connor Norby (42539089),Nick Gonzales (42539065),Jakob Marsee (42539013),Bryan Reynolds (42539017),Marcell Ozuna (42539084),42900,113.83,46.42
