Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Yandy Diaz (42633762),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),49800,156.64,47.95
2,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Matt Olson (42633776),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),49900,159.89,52.59
3,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Yandy Diaz (42633762),Jose Altuve (42633755),Isaac Paredes (42633798),Jose Caballero (42633950),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),50000,158.31,48.89
4,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Willson Contreras (42633784),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Masataka Yoshida (42633899),Eloy Jimenez (42634034),50000,154.62,43.23
5,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Freddie Freeman (42633751),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Bryce Teodosio (42634029),50000,146.06,44.61
6,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Willson Contreras (42633784),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Randal Grichuk (42634014),Eloy Jimenez (42634034),49500,152.96,46.76
7,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Yandy Diaz (42633762),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),49800,156.64,47.95
8,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Matt Olson (42633776),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),49900,159.89,52.59
9,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Jonathan Aranda (42633795),Isaac Paredes (42633798),Yandy Diaz (42633762),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Eloy Jimenez (42634034),49900,153.55,43.53
10,Bryan Woo (42633717),Yoshinobu Yamamoto (42633719),Drake Baldwin (42633770),Matt Olson (42633776),Isaac Paredes (42633798),Yandy Diaz (42633762),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Ryan Vilade (42634033),49600,144.68,43.53
11,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Freddie Freeman (42633751),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Bryce Teodosio (42634029),50000,146.06,44.61
12,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Yandy Diaz (42633762),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Randal Grichuk (42634014),Ryan Vilade (42634033),50000,150.85,47.01
13,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Yandy Diaz (42633762),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),49800,156.64,47.95
14,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Matt Olson (42633776),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),49900,159.89,52.59
15,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Jonathan Aranda (42633795),Isaac Paredes (42633798),Yandy Diaz (42633762),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Eloy Jimenez (42634034),49900,153.55,43.53
16,Bryan Woo (42633717),Yoshinobu Yamamoto (42633719),Drake Baldwin (42633770),Matt Olson (42633776),Isaac Paredes (42633798),Yandy Diaz (42633762),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Ryan Vilade (42634033),49600,144.68,43.53
