Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Tyler Herro (42638650),Jalen Green (42638656),Deni Avdija (42638633),Rasheer Fleming (42638777),Bam Adebayo (42638642),Kon Knueppel (42638665),Jordan Goodwin (42638734),Oso Ighodaro (42638708),49800,252.08,18.09
2,LaMelo Ball (42638644),Kon Knueppel (42638665),Brandon Miller (42638647),Andrew Wiggins (42638705),Bam Adebayo (42638642),Tyler Herro (42638650),Rasheer Fleming (42638777),Jordan Goodwin (42638734),49800,260.72,12.70
3,LaMelo Ball (42638644),Jalen Green (42638656),Deni Avdija (42638633),Andrew Wiggins (42638705),Moussa Diabate (42638696),Tyler Herro (42638650),Ryan Dunn (42638720),Oso Ighodaro (42638708),50000,251.34,12.15
4,Jrue Holiday (42638659),Devin Booker (42638638),Brandon Miller (42638647),Jerami Grant (42638685),Bam Adebayo (42638642),Davion Mitchell (42638729),Jordan Goodwin (42638734),Mark Williams (42638703),50000,251.65,-2.41
5,LaMelo Ball (42638644),Devin Booker (42638638),Matisse Thybulle (42638739),Jerami Grant (42638685),Bam Adebayo (42638642),Tyler Herro (42638650),Rasheer Fleming (42638777),Pelle Larsson (42638715),50000,247.05,11.28
6,LaMelo Ball (42638644),Jalen Green (42638656),Deni Avdija (42638633),Andrew Wiggins (42638705),Bam Adebayo (42638642),Coby White (42638723),Ryan Dunn (42638720),Jordan Goodwin (42638734),50000,257.26,5.22
7,Davion Mitchell (42638729),Devin Booker (42638638),Deni Avdija (42638633),Andrew Wiggins (42638705),Donovan Clingan (42638654),Tyler Herro (42638650),Royce O'Neale (42638710),Oso Ighodaro (42638708),50000,247.56,-3.05
8,Tyler Herro (42638650),Kon Knueppel (42638665),Brandon Miller (42638647),Ryan Dunn (42638720),Bam Adebayo (42638642),Deni Avdija (42638633),Rasheer Fleming (42638777),Jordan Goodwin (42638734),50000,250.08,13.86
9,Scoot Henderson (42638688),Jalen Green (42638656),Deni Avdija (42638633),Andrew Wiggins (42638705),Donovan Clingan (42638654),Tyler Herro (42638650),Norman Powell (42638691),Oso Ighodaro (42638708),50000,246.49,-1.29
10,Jrue Holiday (42638659),Kon Knueppel (42638665),Brandon Miller (42638647),Jerami Grant (42638685),Bam Adebayo (42638642),Toumani Camara (42638674),Andrew Wiggins (42638705),Moussa Diabate (42638696),49800,253.81,-1.64
11,LaMelo Ball (42638644),Jalen Green (42638656),Pelle Larsson (42638715),Jerami Grant (42638685),Bam Adebayo (42638642),Tyler Herro (42638650),Jordan Goodwin (42638734),Moussa Diabate (42638696),50000,257.69,9.58
12,LaMelo Ball (42638644),Jalen Green (42638656),Brandon Miller (42638647),Matisse Thybulle (42638739),Bam Adebayo (42638642),Tyler Herro (42638650),Rasheer Fleming (42638777),Jordan Goodwin (42638734),49900,248.91,18.86
13,Davion Mitchell (42638729),Jalen Green (42638656),Deni Avdija (42638633),Ryan Dunn (42638720),Donovan Clingan (42638654),Devin Booker (42638638),Jaime Jaquez Jr. (42638698),Oso Ighodaro (42638708),49700,237.86,1.19
14,Jrue Holiday (42638659),Devin Booker (42638638),Deni Avdija (42638633),Andrew Wiggins (42638705),Bam Adebayo (42638642),Jordan Goodwin (42638734),Ryan Dunn (42638720),Robert Williams (42638732),49900,251.34,2.56
15,Scoot Henderson (42638688),Devin Booker (42638638),Rasheer Fleming (42638777),Andrew Wiggins (42638705),Donovan Clingan (42638654),Tyler Herro (42638650),Deni Avdija (42638633),Oso Ighodaro (42638708),49800,244.38,7.30
16,LaMelo Ball (42638644),Kon Knueppel (42638665),Brandon Miller (42638647),Jerami Grant (42638685),Bam Adebayo (42638642),Scoot Henderson (42638688),Rasheer Fleming (42638777),Norman Powell (42638691),49800,247.16,0.77
17,LaMelo Ball (42638644),Tyler Herro (42638650),Brandon Miller (42638647),Jerami Grant (42638685),Bam Adebayo (42638642),Pelle Larsson (42638715),Jordan Goodwin (42638734),Oso Ighodaro (42638708),49900,256.08,8.83
18,LaMelo Ball (42638644),Jalen Green (42638656),Brandon Miller (42638647),Royce O'Neale (42638710),Mark Williams (42638703),Toumani Camara (42638674),Rasheer Fleming (42638777),Deni Avdija (42638633),50000,238.99,3.88
19,Davion Mitchell (42638729),Jalen Green (42638656),Deni Avdija (42638633),Andrew Wiggins (42638705),Donovan Clingan (42638654),Devin Booker (42638638),Ryan Dunn (42638720),Moussa Diabate (42638696),50000,245.36,1.88
20,Jrue Holiday (42638659),Devin Booker (42638638),Brandon Miller (42638647),Ryan Dunn (42638720),Donovan Clingan (42638654),Tyler Herro (42638650),Matisse Thybulle (42638739),Jordan Goodwin (42638734),49700,238.84,6.83
