Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Jamal Murray (42763648),Devin Booker (42763657),Cameron Johnson (42763734),Chet Holmgren (42763661),Jalen Duren (42763667),Bones Hyland (42763761),Aaron Gordon (42763705),Jamal Cain (42763831),50000,264.35,27.71
2,Jamal Murray (42763648),Bones Hyland (42763761),Jaden McDaniels (42763686),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Jamal Cain (42763831),Branden Carlson (42763912),49400,252.32,21.53
3,Devin Booker (42763657),Isaiah Joe (42763790),Ausar Thompson (42763695),Chet Holmgren (42763661),Nikola Jokic (42763640),Bones Hyland (42763761),Cameron Johnson (42763734),Jamal Cain (42763831),49900,259.74,23.27
4,Shai Gilgeous-Alexander (42763642),Devin Booker (42763657),Kevin Huerter (42763793),Paolo Banchero (42763654),Branden Carlson (42763912),Jamal Murray (42763648),Jamal Cain (42763831),Bones Hyland (42763761),50000,248.54,11.28
5,Jalen Suggs (42763675),Bones Hyland (42763761),Jamal Cain (42763831),Paolo Banchero (42763654),Nikola Jokic (42763640),Daniss Jenkins (42763806),Julius Randle (42763664),Bruce Brown (42763798),50000,255.36,12.50
6,Shai Gilgeous-Alexander (42763642),Devin Booker (42763657),Cameron Johnson (42763734),Paolo Banchero (42763654),Jalen Duren (42763667),Bones Hyland (42763761),Tristan da Silva (42763841),Jamal Cain (42763831),49500,254.88,14.69
7,Jamal Murray (42763648),Duncan Robinson (42763758),Jamal Cain (42763831),Chet Holmgren (42763661),Jalen Duren (42763667),Devin Booker (42763657),Aaron Gordon (42763705),Bones Hyland (42763761),49700,257.41,23.08
8,Jamal Murray (42763648),Bones Hyland (42763761),Jaden McDaniels (42763686),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Jamal Cain (42763831),Goga Bitadze (42763809),49800,258.31,23.21
9,Jamal Murray (42763648),Isaiah Joe (42763790),Ausar Thompson (42763695),Chet Holmgren (42763661),Nikola Jokic (42763640),Bones Hyland (42763761),Isaiah Stewart (42763779),Jamal Cain (42763831),49900,250.49,12.80
10,Jamal Murray (42763648),Devin Booker (42763657),Cameron Johnson (42763734),Royce O'Neale (42763751),Nikola Jokic (42763640),Bones Hyland (42763761),Jamal Cain (42763831),Branden Carlson (42763912),49000,251.48,16.06
11,Jalen Suggs (42763675),Devin Booker (42763657),Jamal Cain (42763831),Paolo Banchero (42763654),Branden Carlson (42763912),Bones Hyland (42763761),Chet Holmgren (42763661),Julius Randle (42763664),49700,245.84,18.41
12,Shai Gilgeous-Alexander (42763642),Devin Booker (42763657),Cameron Johnson (42763734),Paolo Banchero (42763654),Jalen Duren (42763667),Bones Hyland (42763761),Jamal Cain (42763831),Bruce Brown (42763798),49900,261.75,21.42
13,Jamal Murray (42763648),Devin Booker (42763657),Jamal Cain (42763831),Paolo Banchero (42763654),Jalen Duren (42763667),Daniss Jenkins (42763806),Aaron Gordon (42763705),Bones Hyland (42763761),49600,259.04,18.96
14,Jamal Murray (42763648),Bones Hyland (42763761),Tristan da Silva (42763841),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Jamal Cain (42763831),Rudy Gobert (42763684),49700,256.45,15.11
15,Jamal Murray (42763648),Isaiah Joe (42763790),Jaden McDaniels (42763686),Chet Holmgren (42763661),Nikola Jokic (42763640),Bones Hyland (42763761),Jamal Cain (42763831),Goga Bitadze (42763809),49900,256.42,22.16
16,Jamal Murray (42763648),Duncan Robinson (42763758),Kevin Huerter (42763793),Cameron Johnson (42763734),Nikola Jokic (42763640),Devin Booker (42763657),Jamal Cain (42763831),Bones Hyland (42763761),49500,258.56,16.65
17,Devin Booker (42763657),Bones Hyland (42763761),Jamal Cain (42763831),Chet Holmgren (42763661),Nikola Jokic (42763640),Julian Strawther (42763876),Julius Randle (42763664),Branden Carlson (42763912),49700,245.96,15.39
18,Shai Gilgeous-Alexander (42763642),Devin Booker (42763657),Cameron Johnson (42763734),Paolo Banchero (42763654),Jalen Duren (42763667),Bones Hyland (42763761),Jamal Cain (42763831),Branden Carlson (42763912),49400,251.49,17.92
19,Jamal Murray (42763648),Bones Hyland (42763761),Jamal Cain (42763831),Paolo Banchero (42763654),Jalen Duren (42763667),Daniss Jenkins (42763806),Chet Holmgren (42763661),Aaron Gordon (42763705),49100,255.85,21.14
20,Daniss Jenkins (42763806),Bones Hyland (42763761),Jamal Cain (42763831),Paolo Banchero (42763654),Nikola Jokic (42763640),Bruce Brown (42763798),Chet Holmgren (42763661),Rudy Gobert (42763684),49600,259.43,19.35
