Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Spencer Arrighetti (42955479),Foster Griffin (42955481),Shea Langeliers (42955492),Nick Kurtz (42955496),Jeff McNeil (42955545),Darell Hernaiz (42955593),Otto Lopez (42955509),Tyler Soderstrom (42955506),Kyle Stowers (42955513),Angel Martinez (42955521),49400,148.11,47.89
2,Spencer Arrighetti (42955479),Foster Griffin (42955481),Shea Langeliers (42955492),Nick Kurtz (42955496),Jeff McNeil (42955545),Jose Ramirez (42955489),Brayan Rocchio (42955576),Tyler Soderstrom (42955506),Steven Kwan (42955533),Carlos Cortes (42955534),50000,146.30,43.41
3,Spencer Arrighetti (42955479),Foster Griffin (42955481),Shea Langeliers (42955492),Connor Norby (42955591),Jeff McNeil (42955545),Jose Ramirez (42955489),Jacob Wilson (42955523),Brent Rooker (42955502),Tyler Soderstrom (42955506),Jakob Marsee (42955524),50000,152.25,50.69
4,Spencer Arrighetti (42955479),Foster Griffin (42955481),Shea Langeliers (42955492),Nick Kurtz (42955496),Xavier Edwards (42955504),Darell Hernaiz (42955593),Otto Lopez (42955509),Brent Rooker (42955502),Steven Kwan (42955533),Carlos Cortes (42955534),49900,143.49,41.40
5,Spencer Arrighetti (42955479),Foster Griffin (42955481),Shea Langeliers (42955492),Nick Kurtz (42955496),Darell Hernaiz (42955593),Jose Ramirez (42955489),Jacob Wilson (42955523),Tyler Soderstrom (42955506),JJ Bleday (42955532),David Fry (42955598),49500,142.64,44.06
6,Spencer Arrighetti (42955479),Foster Griffin (42955481),Shea Langeliers (42955492),Nick Kurtz (42955496),Jeff McNeil (42955545),Jose Ramirez (42955489),Trevor Story (42955526),Brent Rooker (42955502),Lawrence Butler (42955538),Felix Reyes (42955615),49900,140.69,43.61
7,Spencer Arrighetti (42955479),Foster Griffin (42955481),Shea Langeliers (42955492),Nick Kurtz (42955496),Jeff McNeil (42955545),Darell Hernaiz (42955593),Otto Lopez (42955509),Tyler Soderstrom (42955506),Angel Martinez (42955521),Jakob Marsee (42955524),48900,148.72,46.78
8,Spencer Arrighetti (42955479),Foster Griffin (42955481),Shea Langeliers (42955492),Nick Kurtz (42955496),Jeff McNeil (42955545),Jose Ramirez (42955489),Jacob Wilson (42955523),Jarren Duran (42955508),Carlos Cortes (42955534),Esteury Ruiz (42955621),49700,139.93,39.22
9,Spencer Arrighetti (42955479),Foster Griffin (42955481),Agustin Ramirez (42955527),Nick Kurtz (42955496),Jeff McNeil (42955545),Jose Ramirez (42955489),Jacob Wilson (42955523),Brent Rooker (42955502),Tyler Soderstrom (42955506),Sal Frelick (42955567),49900,145.68,46.21
10,Spencer Arrighetti (42955479),Foster Griffin (42955481),Shea Langeliers (42955492),Nick Kurtz (42955496),Jeff McNeil (42955545),Darell Hernaiz (42955593),Otto Lopez (42955509),Tyler Soderstrom (42955506),Kyle Stowers (42955513),Steven Kwan (42955533),48900,147.35,48.42
11,Spencer Arrighetti (42955479),Foster Griffin (42955481),Shea Langeliers (42955492),Nick Kurtz (42955496),Darell Hernaiz (42955593),Jose Ramirez (42955489),Jacob Wilson (42955523),Tyler Soderstrom (42955506),JJ Bleday (42955532),Felix Reyes (42955615),49300,140.62,42.21
12,Spencer Arrighetti (42955479),Foster Griffin (42955481),Shea Langeliers (42955492),Nick Kurtz (42955496),Jeff McNeil (42955545),Jose Ramirez (42955489),Trevor Story (42955526),Tyler Soderstrom (42955506),Lawrence Butler (42955538),David Fry (42955598),49800,147.09,48.53
