Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,De'Aaron Fox (42773482),Caleb Love (42773700),Jaylen Brown (42773458),Jayson Tatum (42773452),Victor Wembanyama (42773450),Vit Krejci (42773668),Jerami Grant (42773571),Luka Garza (42773633),49900,253.38,-3.74
2,Tyrese Maxey (42773455),Stephon Castle (42773479),Baylor Scheierman (42773606),Jerami Grant (42773571),Victor Wembanyama (42773450),Jalen Brunson (42773476),Dominick Barlow (42773653),Andre Drummond (42773578),50000,255.77,-2.43
3,Nickeil Alexander-Walker (42773506),Stephon Castle (42773479),Buddy Hield (42773692),Jayson Tatum (42773452),Victor Wembanyama (42773450),Caleb Love (42773700),Zaccharie Risacher (42773661),Payton Pritchard (42773516),49500,248.64,-5.65
4,De'Aaron Fox (42773482),Stephon Castle (42773479),Deni Avdija (42773466),Harrison Barnes (42773600),Joel Embiid (42773474),Jaylen Brown (42773458),Dominick Barlow (42773653),Luka Garza (42773633),50000,252.57,-7.40
5,Jalen Brunson (42773476),Stephon Castle (42773479),Dyson Daniels (42773510),Paul George (42773489),Victor Wembanyama (42773450),Tyrese Martin (42773703),Carter Bryant (42773630),Luke Kornet (42773569),50000,245.31,5.68
6,Jose Alvarado (42773620),VJ Edgecombe (42773502),Toumani Camara (42773550),Deni Avdija (42773466),Joel Embiid (42773474),Nickeil Alexander-Walker (42773506),Karl-Anthony Towns (42773470),Shaedon Sharpe (42773591),50000,253.19,-22.63
7,De'Aaron Fox (42773482),Caleb Love (42773700),Jaylen Brown (42773458),Paul George (42773489),Victor Wembanyama (42773450),Marjon Beauchamp (42773763),Vit Krejci (42773668),Jrue Holiday (42773485),50000,237.13,-9.60
8,Payton Pritchard (42773516),Stephon Castle (42773479),Jonathan Kuminga (42773541),Jayson Tatum (42773452),Victor Wembanyama (42773450),Baylor Scheierman (42773606),Jerami Grant (42773571),Luka Garza (42773633),49900,260.06,11.69
9,Tyrese Maxey (42773455),Caleb Love (42773700),Josh Hart (42773497),Jayson Tatum (42773452),Victor Wembanyama (42773450),Dylan Harper (42773555),Baylor Scheierman (42773606),Zaccharie Risacher (42773661),50000,247.69,-4.59
10,Jalen Brunson (42773476),Stephon Castle (42773479),Buddy Hield (42773692),Jayson Tatum (42773452),Luka Garza (42773633),De'Aaron Fox (42773482),Deni Avdija (42773466),Dominick Barlow (42773653),49900,252.74,-1.83
11,Tyrese Maxey (42773455),Stephon Castle (42773479),Carter Bryant (42773630),Jerami Grant (42773571),Victor Wembanyama (42773450),Jalen Brunson (42773476),Dominick Barlow (42773653),Andre Drummond (42773578),49800,251.31,-2.77
12,De'Aaron Fox (42773482),Nickeil Alexander-Walker (42773506),Toumani Camara (42773550),Harrison Barnes (42773600),Joel Embiid (42773474),Shaedon Sharpe (42773591),Paul George (42773489),Jaylen Brown (42773458),49500,245.25,-25.40
13,Payton Pritchard (42773516),Caleb Love (42773700),Toumani Camara (42773550),Deni Avdija (42773466),Victor Wembanyama (42773450),Jaylen Brown (42773458),Julian Champagnie (42773561),Vit Krejci (42773668),49700,242.44,-14.25
14,CJ McCollum (42773493),Stephon Castle (42773479),Paul George (42773489),Jerami Grant (42773571),Victor Wembanyama (42773450),VJ Edgecombe (42773502),Harrison Barnes (42773600),Luka Garza (42773633),49500,249.42,1.55
15,Nickeil Alexander-Walker (42773506),Stephon Castle (42773479),Baylor Scheierman (42773606),Jayson Tatum (42773452),Victor Wembanyama (42773450),Caleb Love (42773700),Zaccharie Risacher (42773661),Payton Pritchard (42773516),49800,256.61,3.48
16,Jalen Brunson (42773476),Baylor Scheierman (42773606),Buddy Hield (42773692),Jayson Tatum (42773452),Luka Garza (42773633),Derrick White (42773520),Deni Avdija (42773466),Karl-Anthony Towns (42773470),50000,253.78,-1.28
17,De'Aaron Fox (42773482),Caleb Love (42773700),Carter Bryant (42773630),Jayson Tatum (42773452),Victor Wembanyama (42773450),Jaylen Brown (42773458),Jerami Grant (42773571),Dominick Barlow (42773653),49900,252.12,-1.29
18,Tyrese Maxey (42773455),Stephon Castle (42773479),Josh Hart (42773497),Karl-Anthony Towns (42773470),Joel Embiid (42773474),Zaccharie Risacher (42773661),Vit Krejci (42773668),Andre Drummond (42773578),50000,244.06,-17.02
19,Tyrese Maxey (42773455),Marjon Beauchamp (42773763),Toumani Camara (42773550),Karl-Anthony Towns (42773470),Joel Embiid (42773474),Jose Alvarado (42773620),Jaylen Brown (42773458),Luke Kornet (42773569),49900,239.87,-19.76
20,Jalen Brunson (42773476),Nickeil Alexander-Walker (42773506),Paul George (42773489),Jalen Johnson (42773463),Luka Garza (42773633),Shaedon Sharpe (42773591),Jerami Grant (42773571),Jaylen Brown (42773458),49900,249.71,-29.85
