Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Jalen Brunson (42773476),Stephon Castle (42773479),Carter Bryant (42773630),Jayson Tatum (42773452),Victor Wembanyama (42773450),Caleb Love (42773700),Jerami Grant (42773571),Baylor Scheierman (42773606),49600,263.32,16.48
2,Jalen Brunson (42773476),Jaylen Brown (42773458),Carter Bryant (42773630),Jayson Tatum (42773452),Victor Wembanyama (42773450),Baylor Scheierman (42773606),Vit Krejci (42773668),Luka Garza (42773633),49900,256.89,15.78
3,Nickeil Alexander-Walker (42773506),Stephon Castle (42773479),Carter Bryant (42773630),Deni Avdija (42773466),Victor Wembanyama (42773450),Caleb Love (42773700),Paul George (42773489),Baylor Scheierman (42773606),49800,252.92,11.36
4,Tyrese Maxey (42773455),Jaylen Brown (42773458),Carter Bryant (42773630),Karl-Anthony Towns (42773470),Victor Wembanyama (42773450),Baylor Scheierman (42773606),Dominick Barlow (42773653),Zaccharie Risacher (42773661),49800,246.88,0.03
5,Tyrese Maxey (42773455),Stephon Castle (42773479),Carter Bryant (42773630),Jalen Johnson (42773463),Victor Wembanyama (42773450),Baylor Scheierman (42773606),Jerami Grant (42773571),Dominick Barlow (42773653),49900,252.57,-0.34
6,Tyrese Martin (42773703),VJ Edgecombe (42773502),Toumani Camara (42773550),Jayson Tatum (42773452),Victor Wembanyama (42773450),Baylor Scheierman (42773606),Carter Bryant (42773630),Deni Avdija (42773466),49900,250.47,11.25
7,Jalen Brunson (42773476),Marjon Beauchamp (42773763),Carter Bryant (42773630),Karl-Anthony Towns (42773470),Victor Wembanyama (42773450),Payton Pritchard (42773516),Paul George (42773489),Baylor Scheierman (42773606),49900,247.45,10.93
8,Jalen Brunson (42773476),Caleb Love (42773700),Carter Bryant (42773630),Jayson Tatum (42773452),Victor Wembanyama (42773450),Jaylen Brown (42773458),Baylor Scheierman (42773606),Luka Garza (42773633),49900,259.14,15.04
9,Nickeil Alexander-Walker (42773506),Stephon Castle (42773479),Carter Bryant (42773630),Jayson Tatum (42773452),Victor Wembanyama (42773450),Caleb Love (42773700),OG Anunoby (42773513),Baylor Scheierman (42773606),50000,260.22,16.44
10,De'Aaron Fox (42773482),Stephon Castle (42773479),Carter Bryant (42773630),Karl-Anthony Towns (42773470),Victor Wembanyama (42773450),Nickeil Alexander-Walker (42773506),Baylor Scheierman (42773606),Vit Krejci (42773668),50000,254.53,16.55
11,Tyrese Maxey (42773455),Stephon Castle (42773479),Carter Bryant (42773630),Jerami Grant (42773571),Victor Wembanyama (42773450),Jaylen Brown (42773458),Dominick Barlow (42773653),Baylor Scheierman (42773606),50000,253.91,3.75
12,Tyrese Maxey (42773455),Baylor Scheierman (42773606),Carter Bryant (42773630),Jalen Johnson (42773463),Victor Wembanyama (42773450),Tyrese Martin (42773703),Deni Avdija (42773466),Zaccharie Risacher (42773661),49800,241.72,-4.77
13,Jalen Brunson (42773476),Marjon Beauchamp (42773763),Carter Bryant (42773630),Deni Avdija (42773466),Victor Wembanyama (42773450),Payton Pritchard (42773516),Paul George (42773489),Baylor Scheierman (42773606),50000,246.93,8.83
14,Tyrese Maxey (42773455),Baylor Scheierman (42773606),Carter Bryant (42773630),Jayson Tatum (42773452),Victor Wembanyama (42773450),Jalen Brunson (42773476),Dominick Barlow (42773653),Luka Garza (42773633),50000,257.58,12.64
15,Nickeil Alexander-Walker (42773506),Caleb Love (42773700),Toumani Camara (42773550),Jayson Tatum (42773452),Victor Wembanyama (42773450),Jaylen Brown (42773458),Carter Bryant (42773630),Baylor Scheierman (42773606),50000,255.92,8.42
16,De'Aaron Fox (42773482),Stephon Castle (42773479),Carter Bryant (42773630),Jayson Tatum (42773452),Victor Wembanyama (42773450),Baylor Scheierman (42773606),Jerami Grant (42773571),Andre Drummond (42773578),49800,257.84,14.75
17,VJ Edgecombe (42773502),Stephon Castle (42773479),Carter Bryant (42773630),Karl-Anthony Towns (42773470),Victor Wembanyama (42773450),Caleb Love (42773700),Paul George (42773489),Baylor Scheierman (42773606),49900,251.75,12.80
18,Tyrese Maxey (42773455),Jaylen Brown (42773458),Carter Bryant (42773630),Deni Avdija (42773466),Victor Wembanyama (42773450),Tyrese Martin (42773703),Baylor Scheierman (42773606),Vit Krejci (42773668),49900,240.66,0.30
19,Jalen Brunson (42773476),Stephon Castle (42773479),Carter Bryant (42773630),Jalen Johnson (42773463),Victor Wembanyama (42773450),Baylor Scheierman (42773606),Jerami Grant (42773571),Luka Garza (42773633),49000,257.84,12.96
20,Tyrese Maxey (42773455),Baylor Scheierman (42773606),Carter Bryant (42773630),Jayson Tatum (42773452),Victor Wembanyama (42773450),Jalen Brunson (42773476),Dominick Barlow (42773653),Zaccharie Risacher (42773661),49900,254.15,6.02
