Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Tyler Herro (undefined),Jalen Green (undefined),Deni Avdija (undefined),Rasheer Fleming (undefined),Bam Adebayo (undefined),Kon Knueppel (undefined),Jordan Goodwin (undefined),Oso Ighodaro (undefined),49800,252.08,18.09
2,LaMelo Ball (undefined),Kon Knueppel (undefined),Brandon Miller (undefined),Andrew Wiggins (undefined),Bam Adebayo (undefined),Tyler Herro (undefined),Rasheer Fleming (undefined),Jordan Goodwin (undefined),49800,260.72,12.70
3,LaMelo Ball (undefined),Jalen Green (undefined),Deni Avdija (undefined),Andrew Wiggins (undefined),Moussa Diabate (undefined),Tyler Herro (undefined),Ryan Dunn (undefined),Oso Ighodaro (undefined),50000,251.34,12.15
4,Jrue Holiday (undefined),Devin Booker (undefined),Brandon Miller (undefined),Jerami Grant (undefined),Bam Adebayo (undefined),Davion Mitchell (undefined),Jordan Goodwin (undefined),Mark Williams (undefined),50000,251.65,-2.41
5,LaMelo Ball (undefined),Devin Booker (undefined),Matisse Thybulle (undefined),Jerami Grant (undefined),Bam Adebayo (undefined),Tyler Herro (undefined),Rasheer Fleming (undefined),Pelle Larsson (undefined),50000,247.05,11.28
6,Jrue Holiday (undefined),Devin Booker (undefined),Deni Avdija (undefined),Andrew Wiggins (undefined),Donovan Clingan (undefined),Jaime Jaquez Jr. (undefined),Ryan Dunn (undefined),Oso Ighodaro (undefined),49800,244.10,-1.75
7,Tyler Herro (undefined),Jalen Green (undefined),Deni Avdija (undefined),Royce O'Neale (undefined),Bam Adebayo (undefined),Toumani Camara (undefined),Jordan Goodwin (undefined),Robert Williams (undefined),50000,247.10,2.44
8,Scoot Henderson (undefined),Kon Knueppel (undefined),Brandon Miller (undefined),Andrew Wiggins (undefined),Bam Adebayo (undefined),Deni Avdija (undefined),Jordan Goodwin (undefined),Moussa Diabate (undefined),50000,257.59,1.25
9,LaMelo Ball (undefined),Jalen Green (undefined),Rasheer Fleming (undefined),Andrew Wiggins (undefined),Donovan Clingan (undefined),Scoot Henderson (undefined),Deni Avdija (undefined),Norman Powell (undefined),49800,244.48,0.61
10,Tyler Herro (undefined),Jalen Green (undefined),Brandon Miller (undefined),Jerami Grant (undefined),Bam Adebayo (undefined),Toumani Camara (undefined),Jordan Goodwin (undefined),Oso Ighodaro (undefined),49900,250.61,10.44
11,LaMelo Ball (undefined),Kon Knueppel (undefined),Brandon Miller (undefined),Ryan Dunn (undefined),Bam Adebayo (undefined),Tyler Herro (undefined),Rasheer Fleming (undefined),Pelle Larsson (undefined),50000,249.93,15.43
12,Jrue Holiday (undefined),Devin Booker (undefined),Matisse Thybulle (undefined),Andrew Wiggins (undefined),Bam Adebayo (undefined),Deni Avdija (undefined),Jordan Goodwin (undefined),Oso Ighodaro (undefined),50000,253.15,7.07
13,Davion Mitchell (undefined),Devin Booker (undefined),Rasheer Fleming (undefined),Royce O'Neale (undefined),Bam Adebayo (undefined),Tyler Herro (undefined),Ryan Dunn (undefined),Deni Avdija (undefined),49900,242.86,8.00
14,LaMelo Ball (undefined),Jalen Green (undefined),Brandon Miller (undefined),Jerami Grant (undefined),Bam Adebayo (undefined),Jordan Goodwin (undefined),Andrew Wiggins (undefined),Oso Ighodaro (undefined),49800,257.76,9.13
15,LaMelo Ball (undefined),Jalen Green (undefined),Rasheer Fleming (undefined),Jerami Grant (undefined),Donovan Clingan (undefined),Scoot Henderson (undefined),Andrew Wiggins (undefined),Deni Avdija (undefined),50000,245.10,2.91
16,Tyler Herro (undefined),Jalen Green (undefined),Liam McNeeley (undefined),Jerami Grant (undefined),Bam Adebayo (undefined),Toumani Camara (undefined),Deni Avdija (undefined),Jordan Goodwin (undefined),50000,245.21,6.32
17,LaMelo Ball (undefined),Kon Knueppel (undefined),Brandon Miller (undefined),Ryan Dunn (undefined),Donovan Clingan (undefined),Jrue Holiday (undefined),Pelle Larsson (undefined),Moussa Diabate (undefined),49800,244.56,3.64
18,Devin Booker (undefined),Tyler Herro (undefined),Brandon Miller (undefined),Matisse Thybulle (undefined),Moussa Diabate (undefined),Deni Avdija (undefined),Jordan Goodwin (undefined),Oso Ighodaro (undefined),49700,243.60,7.99
19,Davion Mitchell (undefined),Devin Booker (undefined),Deni Avdija (undefined),Royce O'Neale (undefined),Donovan Clingan (undefined),Tyler Herro (undefined),Ryan Dunn (undefined),Mark Williams (undefined),50000,240.07,-3.97
20,LaMelo Ball (undefined),Jalen Green (undefined),Brandon Miller (undefined),Andrew Wiggins (undefined),Oso Ighodaro (undefined),Devin Booker (undefined),Norman Powell (undefined),Jordan Goodwin (undefined),49800,252.08,4.01
