Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Jalen Brunson (42742236),Bruce Brown (42742398),Jaden McDaniels (42742295),Chet Holmgren (42742248),Nikola Jokic (42742215),Daniss Jenkins (42742407),Cameron Johnson (42742346),Bones Hyland (42742447),50000,263.65,16.07
2,Jamal Murray (42742226),Bruce Brown (42742398),Jonathan Kuminga (42742318),Karl-Anthony Towns (42742232),Nikola Jokic (42742215),Ayo Dosunmu (42742332),Terrence Shannon Jr. (42742581),Branden Carlson (42742586),49800,250.87,8.66
3,Nickeil Alexander-Walker (42742270),Christian Braun (42742350),Dyson Daniels (42742286),Karl-Anthony Towns (42742232),Nikola Jokic (42742215),Bruce Brown (42742398),Cameron Johnson (42742346),Branden Carlson (42742586),50000,254.97,2.16
4,Shai Gilgeous-Alexander (42742220),Devin Booker (42742242),Tim Hardaway Jr. (42742376),Tobias Harris (42742292),Nikola Jokic (42742215),Mike Conley (42742529),Julian Strawther (42742454),Terrence Shannon Jr. (42742581),50000,239.35,1.35
5,Jamal Murray (42742226),Christian Braun (42742350),Jaden McDaniels (42742295),Julius Randle (42742257),Nikola Jokic (42742215),Ajay Mitchell (42742343),Kenrich Williams (42742535),Nikola Topic (42742634),50000,247.27,-6.49
6,Jalen Brunson (42742236),CJ McCollum (42742263),Tim Hardaway Jr. (42742376),Chet Holmgren (42742248),Nikola Jokic (42742215),Bruce Brown (42742398),Julian Strawther (42742454),Jared McCain (42742493),49800,240.61,0.69
7,Shai Gilgeous-Alexander (42742220),Luguentz Dort (42742385),Franz Wagner (42742279),Paolo Banchero (42742239),Isaiah Hartenstein (42742310),Daniss Jenkins (42742407),Karl-Anthony Towns (42742232),Bones Hyland (42742447),49700,250.74,-0.99
8,Jamal Murray (42742226),Devin Booker (42742242),Jaden McDaniels (42742295),Chet Holmgren (42742248),Branden Carlson (42742586),Ayo Dosunmu (42742332),Aaron Gordon (42742301),Jonathan Kuminga (42742318),49800,243.20,2.20
9,Cade Cunningham (42742217),Nickeil Alexander-Walker (42742270),Josh Hart (42742274),Tobias Harris (42742292),Khaman Maluach (42742392),Donte DiVincenzo (42742315),Karl-Anthony Towns (42742232),Terrence Shannon Jr. (42742581),50000,236.94,8.35
10,Jalen Brunson (42742236),Bruce Brown (42742398),Dyson Daniels (42742286),Chet Holmgren (42742248),Nikola Jokic (42742215),Daniss Jenkins (42742407),Cameron Johnson (42742346),Branden Carlson (42742586),50000,258.36,9.60
11,Jamal Murray (42742226),Anthony Edwards (42742229),Jaden McDaniels (42742295),Cameron Johnson (42742346),Nikola Jokic (42742215),Mike Conley (42742529),Terrence Shannon Jr. (42742581),Bones Hyland (42742447),50000,250.42,8.28
12,Jalen Brunson (42742236),Bruce Brown (42742398),Dyson Daniels (42742286),Julius Randle (42742257),Nikola Jokic (42742215),Ajay Mitchell (42742343),Tim Hardaway Jr. (42742376),Julian Strawther (42742454),49900,253.20,-4.07
13,Shai Gilgeous-Alexander (42742220),Bones Hyland (42742447),Cameron Johnson (42742346),Karl-Anthony Towns (42742232),Nikola Jokic (42742215),Daniss Jenkins (42742407),Tim Hardaway Jr. (42742376),Nikola Topic (42742634),49600,255.80,5.03
14,Jamal Murray (42742226),Devin Booker (42742242),Jonathan Kuminga (42742318),Chet Holmgren (42742248),Branden Carlson (42742586),Ayo Dosunmu (42742332),OG Anunoby (42742289),Aaron Gordon (42742301),50000,243.13,-0.98
15,Nickeil Alexander-Walker (42742270),Bruce Brown (42742398),Franz Wagner (42742279),Tobias Harris (42742292),Nikola Jokic (42742215),Terrence Shannon Jr. (42742581),Karl-Anthony Towns (42742232),Kenrich Williams (42742535),50000,246.51,2.52
16,Jalen Brunson (42742236),Christian Braun (42742350),Jaden McDaniels (42742295),Paolo Banchero (42742239),Nikola Jokic (42742215),Bruce Brown (42742398),Julian Strawther (42742454),Branden Carlson (42742586),50000,247.59,3.01
17,Shai Gilgeous-Alexander (42742220),Luguentz Dort (42742385),Josh Hart (42742274),Chet Holmgren (42742248),Isaiah Hartenstein (42742310),Daniss Jenkins (42742407),Karl-Anthony Towns (42742232),Khaman Maluach (42742392),49800,242.25,8.65
18,Jamal Murray (42742226),Devin Booker (42742242),Dyson Daniels (42742286),Julius Randle (42742257),Jalen Duren (42742246),Ajay Mitchell (42742343),Kevin Huerter (42742427),Bones Hyland (42742447),49900,254.68,-3.16
19,Jamal Murray (42742226),Anthony Edwards (42742229),Cameron Johnson (42742346),Karl-Anthony Towns (42742232),Branden Carlson (42742586),Jalen Brunson (42742236),Cason Wallace (42742362),Mike Conley (42742529),49900,238.46,-2.64
20,Shai Gilgeous-Alexander (42742220),CJ McCollum (42742263),Jonathan Kuminga (42742318),Chet Holmgren (42742248),Isaiah Hartenstein (42742310),Jalen Suggs (42742267),Ayo Dosunmu (42742332),Terrence Shannon Jr. (42742581),50000,238.22,-0.80
