Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Tyler Herro (undefined),Jalen Green (undefined),Deni Avdija (undefined),Rasheer Fleming (undefined),Bam Adebayo (undefined),Kon Knueppel (undefined),Jordan Goodwin (undefined),Oso Ighodaro (undefined),49800,252.08,18.09
2,LaMelo Ball (undefined),Kon Knueppel (undefined),Brandon Miller (undefined),Andrew Wiggins (undefined),Bam Adebayo (undefined),Tyler Herro (undefined),Rasheer Fleming (undefined),Jordan Goodwin (undefined),49800,260.72,12.70
3,LaMelo Ball (undefined),Jalen Green (undefined),Deni Avdija (undefined),Andrew Wiggins (undefined),Moussa Diabate (undefined),Tyler Herro (undefined),Ryan Dunn (undefined),Oso Ighodaro (undefined),50000,251.34,12.15
4,Jrue Holiday (undefined),Devin Booker (undefined),Brandon Miller (undefined),Jerami Grant (undefined),Bam Adebayo (undefined),Davion Mitchell (undefined),Jordan Goodwin (undefined),Mark Williams (undefined),50000,251.65,-2.41
5,LaMelo Ball (undefined),Devin Booker (undefined),Matisse Thybulle (undefined),Jerami Grant (undefined),Bam Adebayo (undefined),Tyler Herro (undefined),Rasheer Fleming (undefined),Pelle Larsson (undefined),50000,247.05,11.28
6,LaMelo Ball (undefined),Jalen Green (undefined),Deni Avdija (undefined),Andrew Wiggins (undefined),Bam Adebayo (undefined),Coby White (undefined),Ryan Dunn (undefined),Jordan Goodwin (undefined),50000,257.26,5.22
7,Davion Mitchell (undefined),Devin Booker (undefined),Deni Avdija (undefined),Andrew Wiggins (undefined),Donovan Clingan (undefined),Tyler Herro (undefined),Royce O'Neale (undefined),Oso Ighodaro (undefined),50000,247.56,-3.05
8,Tyler Herro (undefined),Kon Knueppel (undefined),Brandon Miller (undefined),Ryan Dunn (undefined),Bam Adebayo (undefined),Deni Avdija (undefined),Rasheer Fleming (undefined),Jordan Goodwin (undefined),50000,250.08,13.86
9,Scoot Henderson (undefined),Jalen Green (undefined),Deni Avdija (undefined),Andrew Wiggins (undefined),Donovan Clingan (undefined),Tyler Herro (undefined),Norman Powell (undefined),Oso Ighodaro (undefined),50000,246.49,-1.29
10,Jrue Holiday (undefined),Kon Knueppel (undefined),Brandon Miller (undefined),Jerami Grant (undefined),Bam Adebayo (undefined),Toumani Camara (undefined),Andrew Wiggins (undefined),Moussa Diabate (undefined),49800,253.81,-1.64
11,LaMelo Ball (undefined),Jalen Green (undefined),Pelle Larsson (undefined),Jerami Grant (undefined),Bam Adebayo (undefined),Tyler Herro (undefined),Jordan Goodwin (undefined),Moussa Diabate (undefined),50000,257.69,9.58
12,LaMelo Ball (undefined),Jalen Green (undefined),Brandon Miller (undefined),Matisse Thybulle (undefined),Bam Adebayo (undefined),Tyler Herro (undefined),Rasheer Fleming (undefined),Jordan Goodwin (undefined),49900,248.91,18.86
13,Davion Mitchell (undefined),Devin Booker (undefined),Deni Avdija (undefined),Andrew Wiggins (undefined),Donovan Clingan (undefined),Tyler Herro (undefined),Ryan Dunn (undefined),Oso Ighodaro (undefined),49800,246.40,3.45
14,Devin Booker (undefined),Kon Knueppel (undefined),Rasheer Fleming (undefined),Miles Bridges (undefined),Bam Adebayo (undefined),Deni Avdija (undefined),Jaime Jaquez Jr. (undefined),Jordan Goodwin (undefined),50000,250.29,1.04
15,Scoot Henderson (undefined),Jalen Green (undefined),Deni Avdija (undefined),Royce O'Neale (undefined),Bam Adebayo (undefined),Tyler Herro (undefined),Ryan Dunn (undefined),Robert Williams (undefined),50000,239.70,3.33
16,Jrue Holiday (undefined),Kon Knueppel (undefined),Brandon Miller (undefined),Jerami Grant (undefined),Bam Adebayo (undefined),Toumani Camara (undefined),Andrew Wiggins (undefined),Oso Ighodaro (undefined),49300,250.39,1.29
17,LaMelo Ball (undefined),Jalen Green (undefined),Brandon Miller (undefined),Andrew Wiggins (undefined),Donovan Clingan (undefined),Jrue Holiday (undefined),Pelle Larsson (undefined),Jordan Goodwin (undefined),49800,251.67,3.38
18,LaMelo Ball (undefined),Jalen Green (undefined),Rasheer Fleming (undefined),Jerami Grant (undefined),Moussa Diabate (undefined),Tyler Herro (undefined),Andrew Wiggins (undefined),Deni Avdija (undefined),49800,250.30,7.67
19,LaMelo Ball (undefined),Devin Booker (undefined),Brandon Miller (undefined),Andrew Wiggins (undefined),Donovan Clingan (undefined),Davion Mitchell (undefined),Ryan Dunn (undefined),Oso Ighodaro (undefined),49400,245.20,4.62
20,LaMelo Ball (undefined),Devin Booker (undefined),Rasheer Fleming (undefined),Andrew Wiggins (undefined),Donovan Clingan (undefined),Deni Avdija (undefined),Jaime Jaquez Jr. (undefined),Jordan Goodwin (undefined),49700,251.03,0.93
