Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Kodai Senga (42604583),Michael Wacha (42604595),Salvador Perez (42604571),Nathaniel Lowe (42604662),Michael Massey (42604700),Eugenio Suarez (42604578),Elly De La Cruz (42604768),Mike Trout (42604574),TJ Friedl (42604673),Spencer Steer (42604665),48900,144.78,52.86
2,Kodai Senga (42604583),Michael Wacha (42604595),Carter Jensen (42604784),Sal Stewart (42604805),Michael Massey (42604700),Eugenio Suarez (42604578),Elly De La Cruz (42604768),Jo Adell (42604683),TJ Friedl (42604673),Spencer Steer (42604665),49500,146.46,44.84
3,Kodai Senga (42604583),Michael Wacha (42604595),Salvador Perez (42604571),Sal Stewart (42604805),Jonathan India (42604643),Eugenio Suarez (42604578),Elly De La Cruz (42604768),TJ Friedl (42604673),Spencer Steer (42604665),Bryce Teodosio (42604755),49100,146.92,47.01
4,Kodai Senga (42604583),Michael Wacha (42604595),Salvador Perez (42604571),Vinnie Pasquantino (42604697),Michael Massey (42604700),Maikel Garcia (42604677),Bobby Witt Jr. (42604732),TJ Friedl (42604673),Spencer Steer (42604665),Andrew Benintendi (42604619),49100,136.13,44.70
5,Kodai Senga (42604583),Brandon Williamson (42604722),Carter Jensen (42604784),Nathaniel Lowe (42604662),Jonathan India (42604643),Eugenio Suarez (42604578),Elly De La Cruz (42604768),Mike Trout (42604574),TJ Friedl (42604673),Spencer Steer (42604665),48500,146.40,52.89
6,Kodai Senga (42604583),Brandon Williamson (42604722),Salvador Perez (42604571),Sal Stewart (42604805),Jonathan India (42604643),Eugenio Suarez (42604578),Francisco Lindor (42604586),Mike Trout (42604574),TJ Friedl (42604673),Spencer Steer (42604665),49700,146.30,49.10
7,Kodai Senga (42604583),Michael Wacha (42604595),Salvador Perez (42604571),Nathaniel Lowe (42604662),Michael Massey (42604700),Eugenio Suarez (42604578),Elly De La Cruz (42604768),Mike Trout (42604574),TJ Friedl (42604673),Spencer Steer (42604665),48900,144.78,52.86
8,Kodai Senga (42604583),Michael Wacha (42604595),Carter Jensen (42604784),Sal Stewart (42604805),Michael Massey (42604700),Eugenio Suarez (42604578),Elly De La Cruz (42604768),Jo Adell (42604683),TJ Friedl (42604673),Spencer Steer (42604665),49500,146.46,44.84
9,Kodai Senga (42604583),Michael Wacha (42604595),Salvador Perez (42604571),Sal Stewart (42604805),Jonathan India (42604643),Eugenio Suarez (42604578),Elly De La Cruz (42604768),TJ Friedl (42604673),Spencer Steer (42604665),Bryce Teodosio (42604755),49100,146.92,47.01
10,Kodai Senga (42604583),Michael Wacha (42604595),Salvador Perez (42604571),Vinnie Pasquantino (42604697),Michael Massey (42604700),Maikel Garcia (42604677),Bobby Witt Jr. (42604732),TJ Friedl (42604673),Spencer Steer (42604665),Andrew Benintendi (42604619),49100,136.13,44.70
11,Kodai Senga (42604583),Brandon Williamson (42604722),Carter Jensen (42604784),Nathaniel Lowe (42604662),Jonathan India (42604643),Eugenio Suarez (42604578),Elly De La Cruz (42604768),Mike Trout (42604574),TJ Friedl (42604673),Spencer Steer (42604665),48500,146.40,52.89
12,Kodai Senga (42604583),Brandon Williamson (42604722),Salvador Perez (42604571),Sal Stewart (42604805),Jonathan India (42604643),Eugenio Suarez (42604578),Francisco Lindor (42604586),Mike Trout (42604574),TJ Friedl (42604673),Spencer Steer (42604665),49700,146.30,49.10
13,Michael Wacha (42604595),Brandon Williamson (42604722),Salvador Perez (42604571),Nathaniel Lowe (42604662),Jonathan India (42604643),Eugenio Suarez (42604578),Elly De La Cruz (42604768),Luis Robert Jr. (42604674),Mike Trout (42604574),Noelvi Marte (42604730),49500,144.21,51.41
14,Michael Wacha (42604595),Brandon Williamson (42604722),Salvador Perez (42604571),Sal Stewart (42604805),Jonathan India (42604643),Maikel Garcia (42604677),Elly De La Cruz (42604768),Mike Trout (42604574),Noelvi Marte (42604730),Andrew Benintendi (42604619),49100,137.73,40.67
15,Michael Wacha (42604595),Brandon Williamson (42604722),Salvador Perez (42604571),Vinnie Pasquantino (42604697),Michael Massey (42604700),Maikel Garcia (42604677),Elly De La Cruz (42604768),Luis Robert Jr. (42604674),Noelvi Marte (42604730),Andrew Benintendi (42604619),48200,132.87,46.36
16,Michael Wacha (42604595),Brandon Williamson (42604722),Salvador Perez (42604571),Vinnie Pasquantino (42604697),Jonathan India (42604643),Eugenio Suarez (42604578),Bobby Witt Jr. (42604732),Luis Robert Jr. (42604674),Noelvi Marte (42604730),Andrew Benintendi (42604619),49000,135.49,45.17
17,Jacob Lopez (42604718),Brandon Williamson (42604722),Tyler Stephenson (42604634),Sal Stewart (42604805),Jonathan India (42604643),Maikel Garcia (42604677),Elly De La Cruz (42604768),Luis Robert Jr. (42604674),Mike Trout (42604574),Noelvi Marte (42604730),49900,138.88,51.28
18,Jacob Lopez (42604718),Brandon Williamson (42604722),Carter Jensen (42604784),Sal Stewart (42604805),Jonathan India (42604643),Maikel Garcia (42604677),Bobby Witt Jr. (42604732),Luis Robert Jr. (42604674),Noelvi Marte (42604730),Andrew Benintendi (42604619),48100,130.33,46.24
19,Jacob Lopez (42604718),Brandon Williamson (42604722),Carter Jensen (42604784),Nathaniel Lowe (42604662),Michael Massey (42604700),Maikel Garcia (42604677),Bobby Witt Jr. (42604732),Mike Trout (42604574),Noelvi Marte (42604730),Andrew Benintendi (42604619),44400,118.28,52.02
20,Jacob Lopez (42604718),Brandon Williamson (42604722),Tyler Stephenson (42604634),Vinnie Pasquantino (42604697),Michael Massey (42604700),Maikel Garcia (42604677),Bobby Witt Jr. (42604732),Luis Robert Jr. (42604674),Noelvi Marte (42604730),Andrew Benintendi (42604619),46100,121.01,51.98
