Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Tarik Skubal (42672270),Brandon Woodruff (42672273),Shea Langeliers (42672283),Nick Kurtz (42672287),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Lawrence Butler (42672334),Wenceel Perez (42672409),Sam Antonacci (42672432),49100,152.95,57.74
2,Brandon Woodruff (42672273),Adrian Houser (42672277),Shea Langeliers (42672283),Nick Kurtz (42672287),Xavier Edwards (42672297),Max Muncy (42672322),Jacob Wilson (42672332),Riley Greene (42672313),Lawrence Butler (42672334),Tristan Peters (42672410),48300,141.46,54.51
3,Tarik Skubal (42672270),Adrian Houser (42672277),Shea Langeliers (42672283),Spencer Torkelson (42672356),Xavier Edwards (42672297),Max Muncy (42672322),Jacob Wilson (42672332),Tyler Soderstrom (42672296),Lawrence Butler (42672334),Sam Antonacci (42672432),47700,141.63,52.67
4,Tarik Skubal (42672270),Sandy Alcantara (42672272),Shea Langeliers (42672283),Spencer Torkelson (42672356),Brandon Lowe (42672286),Max Muncy (42672322),Jacob Wilson (42672332),Lawrence Butler (42672334),Andrew Benintendi (42672385),Wenceel Perez (42672409),49700,139.68,39.99
5,Tarik Skubal (42672270),Sandy Alcantara (42672272),Shea Langeliers (42672283),Luis Garcia Jr. (42672331),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Riley Greene (42672313),Lawrence Butler (42672334),Tristan Peters (42672410),49800,138.55,39.19
6,Adrian Houser (42672277),Cade Cavalli (42672278),Shea Langeliers (42672283),Nick Kurtz (42672287),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Tyler Soderstrom (42672296),Riley Greene (42672313),Sam Antonacci (42672432),45500,139.79,59.81
7,Tarik Skubal (42672270),Brandon Woodruff (42672273),Shea Langeliers (42672283),Colt Keith (42672323),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Bryan Reynolds (42672298),Lawrence Butler (42672334),Sam Antonacci (42672432),49900,143.57,47.62
8,Brandon Woodruff (42672273),Adrian Houser (42672277),Shea Langeliers (42672283),Nick Kurtz (42672287),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Lawrence Butler (42672334),Andrew Benintendi (42672385),Wenceel Perez (42672409),45800,143.10,61.55
9,Brandon Woodruff (42672273),Adrian Houser (42672277),Shea Langeliers (42672283),Spencer Torkelson (42672356),Xavier Edwards (42672297),Max Muncy (42672322),Jacob Wilson (42672332),Riley Greene (42672313),Lawrence Butler (42672334),Sam Antonacci (42672432),45800,135.32,53.14
10,Tarik Skubal (42672270),Paul Skenes (42672271),Austin Wynns (42672408),Nick Kurtz (42672287),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Riley Greene (42672313),Lawrence Butler (42672334),Sam Antonacci (42672432),48100,136.99,49.31
11,Tarik Skubal (42672270),Sandy Alcantara (42672272),Shea Langeliers (42672283),Luis Garcia Jr. (42672331),Gleyber Torres (42672326),Max Muncy (42672322),Jacob Wilson (42672332),Riley Greene (42672313),Lawrence Butler (42672334),Tristan Peters (42672410),49800,138.55,39.19
12,Brandon Woodruff (42672273),Brayan Bello (42672275),Shea Langeliers (42672283),Nick Kurtz (42672287),Xavier Edwards (42672297),Max Muncy (42672322),Jacob Wilson (42672332),Kerry Carpenter (42672318),Lawrence Butler (42672334),Tristan Peters (42672410),48900,135.56,52.03
13,Brandon Woodruff (42672273),Brayan Bello (42672275),Shea Langeliers (42672283),Nick Kurtz (42672287),Gleyber Torres (42672326),Matt Chapman (42672311),Otto Lopez (42672307),Tyler Soderstrom (42672296),Lawrence Butler (42672334),Sam Antonacci (42672432),49400,139.74,50.21
14,Brandon Woodruff (42672273),Brayan Bello (42672275),Austin Wynns (42672408),Nick Kurtz (42672287),Xavier Edwards (42672297),Colt Keith (42672323),CJ Abrams (42672284),Ryan O'Hearn (42672295),Tyler Soderstrom (42672296),Sam Antonacci (42672432),49100,123.21,39.60
15,Brandon Woodruff (42672273),Brayan Bello (42672275),Austin Wynns (42672408),Nick Kurtz (42672287),Xavier Edwards (42672297),Matt Chapman (42672311),Kevin McGonigle (42672304),Ryan O'Hearn (42672295),Bryan Reynolds (42672298),Heliot Ramos (42672363),49100,121.63,37.76
16,Tarik Skubal (42672270),Brayan Bello (42672275),Austin Wynns (42672408),Luis Garcia Jr. (42672331),Xavier Edwards (42672297),Colt Keith (42672323),Otto Lopez (42672307),Ryan O'Hearn (42672295),Tyler Soderstrom (42672296),Bryan Reynolds (42672298),49800,117.59,30.73
17,Tarik Skubal (42672270),Brayan Bello (42672275),Austin Wynns (42672408),Nick Kurtz (42672287),Xavier Edwards (42672297),Colt Keith (42672323),CJ Abrams (42672284),Bryan Reynolds (42672298),Jakob Marsee (42672302),Drew Gilbert (42672429),49900,121.57,30.97
