Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Cole Ragans (42565049),Kyle Bradish (42565051),Ivan Herrera (42565175),TJ Rumfield (42565202),Jose Altuve (42565074),Isaac Paredes (42565378),Jeremy Pena (42565077),Cam Smith (42565123),Jake Meyers (42565166),Otto Kemp (42565364),49500,148.10,57.12
2,Cole Ragans (42565049),Kyle Bradish (42565051),Christian Vazquez (42565205),TJ Rumfield (42565202),Jose Altuve (42565074),Isaac Paredes (42565378),Jeremy Pena (42565077),Yordan Alvarez (42565065),Kyren Paris (42565467),Otto Kemp (42565364),50000,146.57,57.66
3,Cole Ragans (42565049),Kyle Bradish (42565051),Christian Vazquez (42565205),TJ Rumfield (42565202),Jose Altuve (42565074),Isaac Paredes (42565378),Jeremy Pena (42565077),Mickey Moniak (42565157),Jake Meyers (42565166),Jordan Walker (42565241),49800,150.43,47.34
4,Cole Ragans (42565049),Kyle Bradish (42565051),Ivan Herrera (42565175),Christian Walker (42565090),JJ Wetherholt (42565125),Isaac Paredes (42565378),Jeremy Pena (42565077),Cam Smith (42565123),Mickey Moniak (42565157),Otto Kemp (42565364),50000,147.02,52.50
5,Cole Ragans (42565049),Kyle Bradish (42565051),Hunter Goodman (42565098),Ryan Mountcastle (42565347),Jose Altuve (42565074),Isaac Paredes (42565378),Jeremy Pena (42565077),Cam Smith (42565123),Jake Meyers (42565166),Kyren Paris (42565467),49600,142.65,59.30
6,Cole Ragans (42565049),Kyle Bradish (42565051),Ivan Herrera (42565175),Christian Walker (42565090),Tyler Freeman (42565132),Isaac Paredes (42565378),Jeremy Pena (42565077),Cam Smith (42565123),Jake Meyers (42565166),Kyren Paris (42565467),49700,144.10,56.41
7,Cole Ragans (42565049),Kyle Bradish (42565051),Ivan Herrera (42565175),TJ Rumfield (42565202),Jose Altuve (42565074),Isaac Paredes (42565378),Jeremy Pena (42565077),Cam Smith (42565123),Jake Meyers (42565166),Otto Kemp (42565364),49500,148.10,57.12
8,Cole Ragans (42565049),Kyle Bradish (42565051),Christian Vazquez (42565205),TJ Rumfield (42565202),Jose Altuve (42565074),Isaac Paredes (42565378),Jeremy Pena (42565077),Yordan Alvarez (42565065),Kyren Paris (42565467),Otto Kemp (42565364),50000,146.57,57.66
9,Cole Ragans (42565049),Kyle Bradish (42565051),Christian Vazquez (42565205),TJ Rumfield (42565202),Jose Altuve (42565074),Isaac Paredes (42565378),Jeremy Pena (42565077),Mickey Moniak (42565157),Jake Meyers (42565166),Jordan Walker (42565241),49800,150.43,47.34
10,Cole Ragans (42565049),Kyle Bradish (42565051),Ivan Herrera (42565175),Christian Walker (42565090),JJ Wetherholt (42565125),Isaac Paredes (42565378),Jeremy Pena (42565077),Cam Smith (42565123),Mickey Moniak (42565157),Otto Kemp (42565364),50000,147.02,52.50
11,Cole Ragans (42565049),Kyle Bradish (42565051),Hunter Goodman (42565098),Ryan Mountcastle (42565347),Jose Altuve (42565074),Isaac Paredes (42565378),Jeremy Pena (42565077),Cam Smith (42565123),Jake Meyers (42565166),Kyren Paris (42565467),49600,142.65,59.30
12,Cole Ragans (42565049),Kyle Bradish (42565051),Ivan Herrera (42565175),Christian Walker (42565090),Tyler Freeman (42565132),Isaac Paredes (42565378),Jeremy Pena (42565077),Cam Smith (42565123),Jake Meyers (42565166),Kyren Paris (42565467),49700,144.10,56.41
13,Bryan Woo (42565045),MacKenzie Gore (42565048),Ivan Herrera (42565175),Christian Walker (42565090),Jose Altuve (42565074),Nolan Gorman (42565206),Ezequiel Tovar (42565124),Mickey Moniak (42565157),Jake Meyers (42565166),Otto Kemp (42565364),49900,138.55,29.58
14,Bryan Woo (42565045),MacKenzie Gore (42565048),Ivan Herrera (42565175),TJ Rumfield (42565202),Jose Altuve (42565074),Bo Bichette (42565128),Ezequiel Tovar (42565124),Cam Smith (42565123),Jake Meyers (42565166),Otto Kemp (42565364),49500,136.12,31.82
15,Bryan Woo (42565045),MacKenzie Gore (42565048),Hunter Goodman (42565098),Christian Walker (42565090),Jose Altuve (42565074),Isiah Kiner-Falefa (42565353),Ezequiel Tovar (42565124),Mickey Moniak (42565157),Jake Meyers (42565166),Kyren Paris (42565467),49900,135.17,33.23
16,Bryan Woo (42565045),MacKenzie Gore (42565048),Ivan Herrera (42565175),Christian Walker (42565090),Jose Altuve (42565074),Bo Bichette (42565128),Masyn Winn (42565211),Mickey Moniak (42565157),Jake Meyers (42565166),Kyren Paris (42565467),49800,136.79,29.94
17,Bryan Woo (42565045),MacKenzie Gore (42565048),Ivan Herrera (42565175),Christian Walker (42565090),JJ Wetherholt (42565125),Isiah Kiner-Falefa (42565353),Ezequiel Tovar (42565124),Cam Smith (42565123),Joey Loperfido (42565130),Dylan Beavers (42565290),49000,132.40,28.61
18,Bryan Woo (42565045),MacKenzie Gore (42565048),Christian Vazquez (42565205),Christian Walker (42565090),JJ Wetherholt (42565125),Bo Bichette (42565128),Ezequiel Tovar (42565124),Cam Smith (42565123),Mickey Moniak (42565157),Otto Kemp (42565364),49800,134.57,24.67
19,Bryan Woo (42565045),MacKenzie Gore (42565048),Christian Vazquez (42565205),Christian Walker (42565090),JJ Wetherholt (42565125),Nolan Gorman (42565206),Ezequiel Tovar (42565124),Cam Smith (42565123),Dylan Beavers (42565290),Tyler Freeman (42565132),49900,134.86,22.24
20,Bryan Woo (42565045),MacKenzie Gore (42565048),Christian Vazquez (42565205),TJ Rumfield (42565202),JJ Wetherholt (42565125),Nolan Gorman (42565206),Ezequiel Tovar (42565124),Yordan Alvarez (42565065),Joey Loperfido (42565130),Otto Kemp (42565364),50000,134.41,27.51
