Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Ben Saraf (42584634),Tre Jones (42584502),Paul George (42584474),Will Riley (42584526),Alperen Sengun (42584468),Pelle Larsson (42584622),Guerschon Yabusele (42584614),Sandro Mamukelashvili (42584683),49900,269.61,72.05
2,Tre Jones (42584502),Collin Sexton (42584521),Paul George (42584474),Leonard Miller (42584598),Alperen Sengun (42584468),Jamir Watkins (42584609),Kobe Brown (42584718),Sandro Mamukelashvili (42584683),49700,269.69,67.30
3,Ben Saraf (42584634),Tre Jones (42584502),Will Riley (42584526),Scottie Barnes (42584460),Alperen Sengun (42584468),Ja'Kobe Walter (42584637),Anthony Gill (42584693),Sandro Mamukelashvili (42584683),49600,258.47,60.63
4,Jamal Shead (42584666),Rob Dillingham (42584689),Paul George (42584474),Scottie Barnes (42584460),Alperen Sengun (42584468),Pelle Larsson (42584622),Guerschon Yabusele (42584614),Sandro Mamukelashvili (42584683),49200,267.48,60.75
5,Reed Sheppard (42584551),Tyson Etienne (42584795),Paul George (42584474),Will Riley (42584526),Alperen Sengun (42584468),Collin Sexton (42584521),Leonard Miller (42584598),Sandro Mamukelashvili (42584683),49300,265.84,63.29
6,Ben Saraf (42584634),Drake Powell (42584646),Ja'Kobe Walter (42584637),Scottie Barnes (42584460),Alperen Sengun (42584468),Tyler Herro (42584484),Guerschon Yabusele (42584614),Sandro Mamukelashvili (42584683),49100,250.59,51.64
7,Tre Jones (42584502),Ethan Thompson (42584735),Paul George (42584474),Will Riley (42584526),Alperen Sengun (42584468),Pelle Larsson (42584622),Guerschon Yabusele (42584614),Sandro Mamukelashvili (42584683),49100,261.75,68.31
8,Tre Jones (42584502),Collin Sexton (42584521),Paul George (42584474),Leonard Miller (42584598),Alperen Sengun (42584468),Jamir Watkins (42584609),Kobe Brown (42584718),Sandro Mamukelashvili (42584683),49700,269.69,67.30
9,Ben Saraf (42584634),Tre Jones (42584502),Paul George (42584474),Will Riley (42584526),Alperen Sengun (42584468),Ja'Kobe Walter (42584637),Anthony Gill (42584693),Sandro Mamukelashvili (42584683),49000,257.60,66.86
10,Jamal Shead (42584666),Rob Dillingham (42584689),Paul George (42584474),Scottie Barnes (42584460),Alperen Sengun (42584468),Pelle Larsson (42584622),Guerschon Yabusele (42584614),Sandro Mamukelashvili (42584683),49200,267.48,60.75
11,Tyson Etienne (42584795),Collin Sexton (42584521),Will Riley (42584526),Scottie Barnes (42584460),Alperen Sengun (42584468),Jamir Watkins (42584609),Leonard Miller (42584598),Sandro Mamukelashvili (42584683),49000,258.27,59.36
12,Ben Saraf (42584634),Tyler Herro (42584484),Leonard Miller (42584598),Scottie Barnes (42584460),Alperen Sengun (42584468),Sharife Cooper (42584732),Guerschon Yabusele (42584614),Sandro Mamukelashvili (42584683),49000,258.99,54.44
13,Tyler Herro (42584484),Drake Powell (42584646),Will Riley (42584526),Guerschon Yabusele (42584614),Alperen Sengun (42584468),Tre Jones (42584502),Pelle Larsson (42584622),Sandro Mamukelashvili (42584683),49100,252.03,56.24
14,Tyler Herro (42584484),Tre Jones (42584502),Kobe Brown (42584718),Jabari Smith Jr. (42584539),Alperen Sengun (42584468),Collin Sexton (42584521),Ja'Kobe Walter (42584637),Sandro Mamukelashvili (42584683),49700,265.70,49.12
15,Ben Saraf (42584634),Ethan Thompson (42584735),Kevin Durant (42584463),Will Riley (42584526),Alperen Sengun (42584468),VJ Edgecombe (42584495),Anthony Gill (42584693),Sandro Mamukelashvili (42584683),49000,245.86,44.58
16,Jalen Brunson (42584453),Pelle Larsson (42584622),Kobe Brown (42584718),Jayson Tatum (42584437),Alperen Sengun (42584468),Taelon Peter (42584753),Baylor Scheierman (42584761),Sandro Mamukelashvili (42584683),49100,247.43,37.40
17,Jamal Shead (42584666),Reed Sheppard (42584551),Leonard Miller (42584598),Scottie Barnes (42584460),Alperen Sengun (42584468),Collin Sexton (42584521),Pelle Larsson (42584622),Sandro Mamukelashvili (42584683),49400,271.95,50.92
18,Ben Saraf (42584634),Collin Sexton (42584521),Leonard Miller (42584598),Scottie Barnes (42584460),Alperen Sengun (42584468),Jamir Watkins (42584609),Guerschon Yabusele (42584614),Sandro Mamukelashvili (42584683),49000,260.03,61.97
19,Payton Pritchard (42584514),Rob Dillingham (42584689),Leonard Miller (42584598),Jayson Tatum (42584437),Alperen Sengun (42584468),Tyson Etienne (42584795),Josh Hart (42584530),Sandro Mamukelashvili (42584683),49300,251.41,33.34
20,Jalen Brunson (42584453),Ja'Kobe Walter (42584637),Kobe Brown (42584718),Karl-Anthony Towns (42584456),Alperen Sengun (42584468),Ben Saraf (42584634),Baylor Scheierman (42584761),Sandro Mamukelashvili (42584683),49000,245.12,38.94
