Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Jacob deGrom (43118119),Michael Soroka (43118128),Liam Hicks (43118170),Matt Olson (43118159),Ozzie Albies (43118192),Connor Norby (43118317),Ha-Seong Kim (43118374),Michael Harris II (43118251),Kyle Stowers (43118260),Dominic Smith (43118258),49600,226.06,122.87
2,Jacob deGrom (43118119),Michael Soroka (43118128),Sandy Leon (43118489),Matt Olson (43118159),Ozzie Albies (43118192),Austin Riley (43118204),Gunnar Henderson (43118164),Daulton Varsho (43118257),Kyle Stowers (43118260),Dominic Smith (43118258),50000,216.01,117.37
3,Jacob deGrom (43118119),Michael Soroka (43118128),Liam Hicks (43118170),Matt Olson (43118159),Ozzie Albies (43118192),Austin Riley (43118204),Ha-Seong Kim (43118374),Daulton Varsho (43118257),Colton Cowser (43118444),Dominic Smith (43118258),49200,216.84,118.83
4,Jacob deGrom (43118119),Michael Soroka (43118128),Adley Rutschman (43118191),Matt Olson (43118159),Ozzie Albies (43118192),Austin Riley (43118204),Ha-Seong Kim (43118374),Kyle Stowers (43118260),Leody Taveras (43118295),Dominic Smith (43118258),49700,222.49,121.66
5,Jacob deGrom (43118119),Michael Soroka (43118128),Adley Rutschman (43118191),Matt Olson (43118159),Ozzie Albies (43118192),Austin Riley (43118204),Ha-Seong Kim (43118374),George Springer (43118214),Michael Harris II (43118251),Colton Cowser (43118444),49300,215.96,115.29
6,Jacob deGrom (43118119),Michael Soroka (43118128),Liam Hicks (43118170),Matt Olson (43118159),Ozzie Albies (43118192),Connor Norby (43118317),Ha-Seong Kim (43118374),Ronald Acuna Jr. (43118153),Mauricio Dubon (43118269),Colton Cowser (43118444),50000,215.06,115.58
7,Jacob deGrom (43118119),Michael Soroka (43118128),Liam Hicks (43118170),Matt Olson (43118159),Ozzie Albies (43118192),Connor Norby (43118317),Ha-Seong Kim (43118374),Jakob Marsee (43118244),Michael Harris II (43118251),Dominic Smith (43118258),49800,223.46,119.28
8,Jacob deGrom (43118119),Michael Soroka (43118128),Liam Hicks (43118170),Matt Olson (43118159),Ozzie Albies (43118192),Austin Riley (43118204),Ha-Seong Kim (43118374),Michael Harris II (43118251),Kyle Stowers (43118260),Jahmai Jones (43118430),49400,220.69,120.37
9,Jacob deGrom (43118119),Michael Soroka (43118128),Liam Hicks (43118170),Matt Olson (43118159),Ozzie Albies (43118192),Austin Riley (43118204),Ha-Seong Kim (43118374),Taylor Ward (43118201),Colton Cowser (43118444),Dominic Smith (43118258),49900,216.50,117.99
10,Jacob deGrom (43118119),Michael Soroka (43118128),Adley Rutschman (43118191),Matt Olson (43118159),Ozzie Albies (43118192),Austin Riley (43118204),Ha-Seong Kim (43118374),Daulton Varsho (43118257),Leody Taveras (43118295),Dominic Smith (43118258),49700,217.82,116.50
