Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Jalen Brunson (42726268),Brandon Ingram (42726285),Jaden McDaniels (42726320),Cameron Johnson (42726340),Nikola Jokic (42726251),Bones Hyland (42726411),Naz Reid (42726348),Terrence Shannon Jr. (42726530),49700,254.88,7.13
2,Jamal Murray (42726256),Donovan Mitchell (42726262),RJ Barrett (42726296),Karl-Anthony Towns (42726271),Sandro Mamukelashvili (42726377),Ja'Kobe Walter (42726382),Cameron Johnson (42726340),Jonathan Kuminga (42726344),49900,253.68,2.66
3,Jamal Murray (42726256),Nickeil Alexander-Walker (42726288),Julian Strawther (42726493),Scottie Barnes (42726275),Jakob Poeltl (42726370),Bones Hyland (42726411),Julius Randle (42726282),Karl-Anthony Towns (42726271),49800,253.16,-2.45
4,Bruce Brown (42726387),Anthony Edwards (42726259),Jaden McDaniels (42726320),Scottie Barnes (42726275),Nikola Jokic (42726251),Christian Braun (42726337),Terrence Shannon Jr. (42726530),Thomas Bryant (42726491),50000,240.30,-2.74
5,Jamal Murray (42726256),Donovan Mitchell (42726262),Dyson Daniels (42726306),OG Anunoby (42726315),Evan Mobley (42726278),Ayo Dosunmu (42726332),Nae'Qwan Tomlin (42726479),Cameron Johnson (42726340),50000,246.81,-10.44
6,Jalen Brunson (42726268),Christian Braun (42726337),Josh Hart (42726299),Cameron Johnson (42726340),Nikola Jokic (42726251),CJ McCollum (42726292),Julian Strawther (42726493),Terrence Shannon Jr. (42726530),49900,242.86,3.19
7,Jalen Brunson (42726268),Brandon Ingram (42726285),Jaden McDaniels (42726320),Cameron Johnson (42726340),Nikola Jokic (42726251),Bones Hyland (42726411),Naz Reid (42726348),Terrence Shannon Jr. (42726530),49700,254.88,7.13
8,Jamal Murray (42726256),Donovan Mitchell (42726262),RJ Barrett (42726296),Karl-Anthony Towns (42726271),Sandro Mamukelashvili (42726377),Ja'Kobe Walter (42726382),Cameron Johnson (42726340),Jonathan Kuminga (42726344),49900,253.68,2.66
9,Jamal Murray (42726256),Brandon Ingram (42726285),Tim Hardaway Jr. (42726372),Julius Randle (42726282),Karl-Anthony Towns (42726271),Nickeil Alexander-Walker (42726288),Collin Murray-Boyles (42726357),Bones Hyland (42726411),50000,252.11,-2.19
10,Nickeil Alexander-Walker (42726288),Christian Braun (42726337),RJ Barrett (42726296),Scottie Barnes (42726275),Nikola Jokic (42726251),Bruce Brown (42726387),Julian Strawther (42726493),Jakob Poeltl (42726370),49900,249.03,-5.22
11,Bruce Brown (42726387),Donovan Mitchell (42726262),Jaden McDaniels (42726320),Scottie Barnes (42726275),Nikola Jokic (42726251),Ayo Dosunmu (42726332),Nae'Qwan Tomlin (42726479),Thomas Bryant (42726491),50000,241.29,-8.95
12,Jalen Brunson (42726268),Christian Braun (42726337),Josh Hart (42726299),Cameron Johnson (42726340),Nikola Jokic (42726251),CJ McCollum (42726292),Julian Strawther (42726493),Terrence Shannon Jr. (42726530),49900,242.86,3.19
13,Jalen Brunson (42726268),Brandon Ingram (42726285),Jaden McDaniels (42726320),Cameron Johnson (42726340),Nikola Jokic (42726251),Bones Hyland (42726411),Naz Reid (42726348),Terrence Shannon Jr. (42726530),49700,254.88,7.13
14,Jamal Murray (42726256),Donovan Mitchell (42726262),Dyson Daniels (42726306),Karl-Anthony Towns (42726271),Sandro Mamukelashvili (42726377),Ja'Kobe Walter (42726382),Cameron Johnson (42726340),Jonathan Kuminga (42726344),49500,251.58,0.62
15,Jamal Murray (42726256),Brandon Ingram (42726285),RJ Barrett (42726296),OG Anunoby (42726315),Karl-Anthony Towns (42726271),Bones Hyland (42726411),Cameron Johnson (42726340),Ayo Dosunmu (42726332),49900,256.12,2.51
16,Jamal Murray (42726256),Anthony Edwards (42726259),Ja'Kobe Walter (42726382),Scottie Barnes (42726275),Rudy Gobert (42726304),Nickeil Alexander-Walker (42726288),Julian Strawther (42726493),Jakob Poeltl (42726370),49800,246.32,-3.80
17,Bruce Brown (42726387),Donovan Mitchell (42726262),Jaden McDaniels (42726320),Julius Randle (42726282),Nikola Jokic (42726251),Christian Braun (42726337),Nae'Qwan Tomlin (42726479),Sandro Mamukelashvili (42726377),50000,245.03,-10.56
18,Bruce Brown (42726387),Donovan Mitchell (42726262),Josh Hart (42726299),Scottie Barnes (42726275),Nikola Jokic (42726251),Terrence Shannon Jr. (42726530),Collin Murray-Boyles (42726357),Thomas Bryant (42726491),49900,240.99,-3.00
19,Jalen Brunson (42726268),Brandon Ingram (42726285),Jaden McDaniels (42726320),Cameron Johnson (42726340),Nikola Jokic (42726251),Bones Hyland (42726411),Naz Reid (42726348),Terrence Shannon Jr. (42726530),49700,254.88,7.13
20,Jamal Murray (42726256),Nickeil Alexander-Walker (42726288),Dyson Daniels (42726306),Karl-Anthony Towns (42726271),Sandro Mamukelashvili (42726377),Josh Hart (42726299),Cameron Johnson (42726340),Jonathan Kuminga (42726344),50000,254.50,-2.37
